numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts,leurvaleursubtotal_1
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Beurre,La Martinique,8172,9615,Étranger,livres,,0,
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bois divers,St Domingue,731,,,,Pas de quantité indiquée,0,
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bois de pin en planches,St Domingue,630,1800,Guyenne,en nombre,,0,
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bois d'ozier,St Domingue,888,3562,Béarn,paquets,,0,
5,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bray gras,St Domingue,1648,206,Guyenne,barils,,0,3408
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bray gras,La Martinique,1760,220,Guyenne,barils,,0,3408
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bray sec,St Domingue,2907,64600,Guyenne,livres,,0,4707
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bray sec,La Martinique,1800,40000,Guyenne,livres,,0,4707
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bray goudron,St Domingue,316,74,Guyenne,barils,,0,496
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Bray goudron,La Martinique,180,20,Guyenne,barils,,0,496
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée bœuf,St Domingue,6510,18640,Pays des Basques,livres,,0,8610
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée bœuf,La Martinique,2100,6000,Pays des Basques,livres,,0,8610
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée bœuf,La Martinique,6366,18190,Étranger,livres,,0,
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée jambon,St Domingue,27946,42994,Béarn,livres,,0,47513
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 22),Colonies/1789 - Bayonne - Exports colonies.csv,Colonies,1789,Exports,Bayonne,56,Chair salée jambon,La Martinique,19567,30104,Béarn,livres,,0,47513
