numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,origine,quantity_unit,Leurvaleursubtotal_1,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Amandes en coques,Sénégal et Guinée,1246,1246,Marseille,livres,,,0
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Ambre ouvré,Sénégal et Guinée,1665,,Étranger,en nombre,,Pas de quantité indiquée,0
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu (fusils de traite),Sénégal et Guinée,89280,11160,Ostende,en nombre,,,0
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu fusils,Sénégal et Guinée,2560,256,Charleville,en nombre,,,0
5,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu fusils,Sénégal et Guinée,980,140,Givel,en nombre,,,0
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu,Sénégal et Guinée,12140,1214,Danemark,en nombre,,,0
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu,St Domingue,72,6,St Etienne,en nombre,,,0
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu,Sénégal et Guinée,2400,200,St Etienne,en nombre,,,0
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu,Sénégal et Guinée,2000,200,Hambourg,en nombre,,,0
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu,Sénégal et Guinée,17380,1738,Hollande,en nombre,,,0
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu fusils de chasse,Sénégal et Guinée,1820,70,Angleterre,en nombre,,,0
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu fusils de chasse,Sénégal et Guinée,6500,260,Ostende,en nombre,,,0
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu,St Domingue,420,12,St Etienne,en nombre,,,0
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu,Sénégal et Guinée,840,24,St Etienne,en nombre,,,0
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,29,Armes à feu pistolets de traite,La Martinique,270,15,Nantes,paires,,,0
