numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
1,Guillaume Daudin,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Agrès et voiles de navire,Sénégal et Guinée,500,4,,en nombre,,0
2,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Amandes en coques,Tabago,20,25,Marseille,livres,,0
3,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Amandes en coques,Sénégal et Guinée,978,1223,Marseille,livres,,0
4,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Ardoises,Tabago,300,6000,Nantes,en nombre,,0
5,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Ardoises,Sénégal et Guinée,18,12,Nantes,en nombre,,0
6,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Sabres de traitte,Sénégal et Guinée,600,300,Nantes,en nombre,,0
7,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Sabres de traitte,Sénégal et Guinée,1000,400,Angleterre,en nombre,,0
8,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Sabres de traitte,Sénégal et Guinée,8426,4213,Hollande,en nombre,,0
9,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Sabres garnis en argent,St Domingue,570,,Paris,,,0
10,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Armes à feu,St Domingue,45,,,,,0
11,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Fusils de traitte,Sénégal et Guinée,101465,14495,Ostende,en nombre,,0
12,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Fusils de traitte,Sénégal et Guinée,3360,112,Nantes,en nombre,,0
13,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Fusils de traitte,Sénégal et Guinée,720,120,Angleterre,en nombre,,0
14,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Fusils de chasse,St Domingue,720,30,St Etienne,en nombre,,0
15,Cyril Mouton,ANOM Col F 2B 13 (tableau 21),Colonies/1788 - Le Havre - Exports colonies.csv,Colonies,1788,Exports,Le Havre,39,Fusils de chasse,Sénégal et Guinée,750,1,St Etienne,caisses,,0
