numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,origine,quantity_unit,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Armes à feu fusils de munition,Sénégal et Guinée,28800,Nantes,livres,,0
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Armes blanches sabres,Sénégal et Guinée,5740,Nantes,,Pas de quantité indiquée,0
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Artillerie canons de différents calibres,Sénégal et Guinée,8520,,en nombre,,0
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Bierre,Sénégal et Guinée,80,Hollande,muids,,0
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Bonneterie diverse,St Domingue,78,,,,0
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Bonneterie diverse,Sénégal et Guinée,408,,,,0
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Caves et leurs flacons,Sénégal et Guinée,2172,Hollande,en nombre,,0
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cauris,Sénégal et Guinée,147600,Lorient,livres,,0
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Chair salée bœuf salé,Sénégal et Guinée,594,Angleterre,livres,,0
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Chairs salée jambon,Sénégal et Guinée,702,St Malo,livres,,0
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Chair salée lard salé,Sénégal et Guinée,18415,St Malo,livres,,0
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Chair salée lard salé,Sénégal et Guinée,5009,Angleterre,livres,,0
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Chapeaux à nègres,Sénégal et Guinée,722,,en nombre,,0
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cire en bougie,St Domingue,350,Bretagne,livres,,0
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Corail ouvré,Sénégal et Guinée,8440,Marseille,livres,,0
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cordages dit filain assorti,St Domingue,22500,Bretagne,livres,,0
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Coutellerie commune,Sénégal et Guinée,972,Hollande,,,0
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cuivre en feuilles,Sénégal et Guinée,4045,Hambourg,livres,,0
21,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cuivre en feuilles,Sénégal et Guinée,8050,Angleterre,livres,,0
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cuivre en clous,Sénégal et Guinée,3328,Angleterre,livres,,0
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cuivre en batterie de cuisine,Sénégal et Guinée,2727,,,,0
24,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Cuivre en planches,St Domingue,1200,,livres,,0
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Drap de laine,Sénégal et Guinée,1267,Carcassonne,aunes,,1
26,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Drap de laine,Sénégal et Guinée,1267,Carcassonne,livres,,2
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Eau de vie simple,Sénégal et Guinée,8182,Provence,muids,,0
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Eau de vie simple,Sénégal et Guinée,69472,Bordeaux,muids,,0
31,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Eau de vie simple,Sénégal et Guinée,5882,Languedoc,muids,,0
33,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Eau de vie double,Sénégal et Guinée,882,Bordeaux,muids,,0
35,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Etoffes de laine,Sénégal et Guinée,272,France,,,0
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Etoffes dites pekin,Sénégal et Guinée,330,Lorient,pièces,Dernier chiffre illisible,0
37,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Etoffes de soye,Sénégal et Guinée,670,Lyon,aunes,Dernier chiffre illisible,0
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,farine,Sénégal et Guinée,1720,Bordeaux,livres,Dernier chiffre illisible,0
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,fayence,Sénégal et Guinée,300,Angleterre,,Dernier chiffre illisible,0
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Fer en ancres,St Domingue,150,St Esprit les Bayonne,livres,,0
41,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Fer en barre,Sénégal et Guinée,1580,Suède,livres,Dernier chiffre illisible,0
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Fer en marmites,Sénégal et Guinée,280,Rouen,en nombre,Dernier chiffre illisible,0
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Fer ouvré,St Domingue,98,,,,0
44,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Fil à voiler,St Domingue,1050,,livres,,0
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Fromage de gruyère,Sénégal et Guinée,100,,livres,Dernier chiffre illisible,0
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Fruits secs en confits,Sénégal et Guinée,40,,,,0
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Futailles divers,Sénégal et Guinée,8625,,,,0
48,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,Grains comestibles ris,Sénégal et Guinée,11000,Lorient,livres,,0
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,hardes diverses,Sénégal et Guinée,194,,,,0
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 24),Colonies/1789 - Saint-Malo - Exports colonies.csv,Colonies,1789,Exports,Saint-Malo,63,légumes fèves,Sénégal et Guinée,33250,Nantes,livres,,0
