numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,origine,quantity_unit,remarks,doubleaccounts
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 18),Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Ambre et corail,Sénégal et Guinée,3200,,livres,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bats à mulets,St Domingue,6380,,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Batterie de cuisine,La Martinique,2480,,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de fil,St Domingue,39210,,pièces,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de fil,La Martinique,22234,,pièces,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de fil,La Guadeloupe,25885,,pièces,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de fil,Tabago,1350,,pièces,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas et bonnets de laine,La Martinique,1200,,bas,,1
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas et bonnets de laine,La Martinique,1200,,bonnets,,2
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas et bonnets de laine,La Guadeloupe,36,,bas,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas et bonnets de laine,Sénégal et Guinée,3518,,bas,,1
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas et bonnets de laine,Sénégal et Guinée,3518,,bonnets,,2
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de soye,St Domingue,14268,,pièces,Le pdf donne aussi la quantité en livres,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de soye,La Martinique,1800,,pièces,Le pdf donne aussi la quantité en livres,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de soye,La Guadeloupe,1000,,pièces,Le pdf donne aussi la quantité en livres,0
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bonneterie bas de soye,Sénégal et Guinée,360,,pièces,Le pdf donne aussi la quantité en livres,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bois sapin en planches,St Domingue,5715,,en nombre,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bois sapin en planches,La Martinique,3010,,en nombre,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 - Le Havre - Exports colonies.csv,Colonies,1787,Exports,Le Havre,17,Bois sapin en planches,La Guadeloupe,470,,en nombre,,0
