numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Bois feuillard,St Domingue,1157,771,paquets,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Bois feuillard,La Martinique,420,250,paquets,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Bois feuillard,La Guadeloupe,126,84,paquets,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Bonneterie de soye en bas,La Guadeloupe,1728,216,paires,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Boucaud en bottes,St Domingue,3100,620,en nombre,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Bray et goudron,St Domingue,5316,47510,livres,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Bray et goudron,La Martinique,5004,46560,livres,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Bray et goudron,La Guadeloupe,5742,54420,livres,,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chapeaux poil en laine,St Domingue,2400,200,en nombre,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; divers,St Domingue,918,,,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; divers,La Martinique,993,,,,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; divers,Sénégal et Guinée,720,,,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; beurre,St Domingue,1176,1960,livres,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; beurre,La Guadeloupe,2475,4125,livres,,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; bled maïs,St Domingue,650,10000,livres,,0
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; bled maïs,La Martinique,1385,16300,livres,,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; bled maïs,La Guadeloupe,1088,12800,livres,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; farine,St Domingue,41164,205820,livres,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; farine,La Martinique,18968,94840,livres,,0
20,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Comestibles ; farine,La Guadeloupe,10612,53060,livres,,0
21,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 21),Colonies/1787 – Bayonne – Exports colonies.csv,Colonies,1787,Exports,Bayonne,24,Chairs salées ; bœuf salé,La Martinique,225,750,livres,,0
