numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,Droits totaux indiqués,doubleaccounts
1,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Chevaux ; entiers,Monde,,210,en nombre,,,,74019,1
2,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Chevaux ; hongres,Monde,,4086,en nombre,,,,74019,2
3,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Chevaux ; jumens,Monde,,190,en nombre,,,,74019,3
4,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Chevaux ; poulains,Monde,,2856,en nombre,,,,15708,
5,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Mules et Mulets ; adultes,Monde,,528,en nombre,,,,11055,1
6,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Mules et Mulets ; avec dents de lait,Monde,,426,en nombre,,,,11055,2
7,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Moutons ; mérinos et métis ; Béliers,Monde,,260,en nombre,,,,"46997,94",1
8,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Moutons ; mérinos et métis ; Brebis et moutons,Monde,,1126,en nombre,,,,"46997,94",2
9,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Moutons ; communs,Monde,,169522,en nombre,,,,"46997,94",3
10,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Moutons ; agneaux ; mérinos et métis,Monde,,371,en nombre,,,,"3024,23",1
11,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Moutons ; agneaux ; communs,Monde,,27122,en nombre,,,,"3024,23",2
12,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Taureaux,Monde,,227,en nombre,,,,"54744,8",1
13,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Boeufs,Monde,,16397,en nombre,,,,"54744,8",2
14,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Vaches,Monde,,16952,en nombre,,,,"20942,46",1
15,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Génisses,Monde,,515,en nombre,,,,"20942,46",2
16,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Bouvillons,Monde,,1643,en nombre,,,,"20942,46",3
17,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Veaux,Monde,,12030,en nombre,,,,"3307,26",
18,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,5,Porcs,Monde,,28857,en nombre,,,,"7890,35",
