numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks,Droits totaux indiqués,doubleaccounts
1,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Chevaux ; entiers,Monde,,520,en nombre,,,,8580,
2,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Chevaux ; Jumens,Monde,,593,en nombre,,,,9784,
3,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Chevaux ; Hongres,Monde,,7070,en nombre,,,,116655,
4,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Chevaux ; Poulains,Monde,,5962,en nombre,,,,32791,
5,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Mules et mulets,Monde,,651,en nombre,,,,6946,
6,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Anes et ânesses,Monde,,409,en nombre,,,,113,
7,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Moutons ; Mérinos et métis. ; Béliers,Monde,,124,en nombre,,,,136,
8,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Moutons ; Mérinos et métis. ; Brebis et moutons,Monde,,16922,en nombre,,,,13961,
9,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Moutons ; Mérinos et métis. ; Agneaux,Monde,,79,en nombre,,,,44,
10,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,"Moutons ; communs ; Béliers, brebis, moutons",Monde,,229410,en nombre,,,,57588,
11,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Moutons ; communs ; Agneaux,Monde,,15082,en nombre,,,,1659,
12,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Boeufs et taureaux,Monde,,27137,en nombre,,,,89316,
13,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Vaches et génisses,Monde,,23146,en nombre,,,,25422,
14,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Génisses et bouvillons,Monde,,3278,en nombre,,,,3591,
15,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Chèvres,Monde,,5736,en nombre,,,,1567,
16,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1821 -- AN_F12_251.csv,Tableau de marchandises,1821,Imports,,5,Veaux,Monde,,10543,en nombre,,,,2890,
