numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,remarks,doubleaccounts
1,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,58,Acier ; brut,"Allemagne, Lorraine et Païs de Liege",14110.1,47033,24483.5,livres,,,0
2,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,58,Acier ; ouvré,"Allemagne, Lorraine et Païs de Liege",9872.6,21939,24483.5,livres,,,0
3,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,58,Acier ; ouvré,"Allemagne, Lorraine et Païs de Liege",423.5,941,24483.5,livres,,,0
4,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,58,Acier ; ouvré,"Allemagne, Lorraine et Païs de Liege",77.40000000000001,172,24483.5,livres,,,0
5,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,58,Aiguilles,"Allemagne, Lorraine et Païs de Liege",240,40,297375,livres,,,0
6,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,58,Aiguilles,"Allemagne, Lorraine et Païs de Liege",296980,59396,297375,livres,,,0
7,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Flandre,58,Aiguilles,"Allemagne, Lorraine et Païs de Liege",155,31,297375,livres,,,0
8,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,58,Airain,"Allemagne, Lorraine et Païs de Liege",412.5,330,1044,livres,,,0
9,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,58,Airain,"Allemagne, Lorraine et Païs de Liege",631.5,421,1044,livres,,,0
10,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bourgogne,58,Alun,"Allemagne, Lorraine et Païs de Liege",13722,68610,17019.3,livres,,,0
11,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,58,Alun,"Allemagne, Lorraine et Païs de Liege",2069.5,8278,17019.3,livres,,,0
12,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,58,Alun,"Allemagne, Lorraine et Païs de Liege",787.3,3149,17019.3,livres,,,0
13,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,58,Alun,"Allemagne, Lorraine et Païs de Liege",250,1000,17019.3,livres,,,0
14,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Saint-Quentin,58,Alun,"Allemagne, Lorraine et Païs de Liege",190.5,1270,17019.3,livres,,,0
15,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Flandre,59,Ardoises,"Allemagne, Lorraine et Païs de Liege",47814,1839,47814,milliers,,,0
16,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Charleville,59,Armes ; à feu,"Allemagne, Lorraine et Païs de Liege",206010,68671,206010,livres,,,0
17,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Langres,59,Armoire,"Allemagne, Lorraine et Païs de Liege",40,1,40,en nombre,,,0
18,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,59,Asnes,"Allemagne, Lorraine et Païs de Liege",60,2,60,en nombre,,,0
19,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,59,Avelines,"Allemagne, Lorraine et Païs de Liege",20,100,20,livres,,,0
20,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Châlons,60,Azur,"Allemagne, Lorraine et Païs de Liege",21.6,36,21.6,livres,,,0
