numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
361,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,4,Baracan,Flandre autrichienne,735,245,livres,3,
482,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,11,Chevaux,Flandre autrichienne,1080,9,livres,120,
484,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,11,Chiens,Flandre autrichienne,234,36,livres,6.5,
521,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,14,Coton ; filé,Flandre autrichienne,393,225,livres,1.75,
568,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,16,Drap ; d'abbeville,Flandre autrichienne,2475,165,livres,15,
569,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,16,Drap ; d'amiens,Flandre autrichienne,770,110,livres,7,
578,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,17,Draperie ; petite,Flandre autrichienne,15264,5088,livres,3,
623,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,20,Etoffe ; façonnée,Flandre autrichienne,69035,13807,livres,5,
635,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,20,Etoffe ; à peu de soye,Flandre autrichienne,92350,9235,livres,10,
745,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,27,Huile ; d'olive,Flandre autrichienne,532,1065,livres,.5,
805,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,31,Miel,Flandre autrichienne,24,30,livres,.8,
869,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,36,Parchemin,Flandre autrichienne,169,3.25,grosses,52,
882,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,36,Peaux ; de lapin,Flandre autrichienne,341,759,livres,.45,
889,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,37,Peluche,Flandre autrichienne,63984,10664,livres,6,
963,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,42,Savon ; marbre,Flandre autrichienne,906,2665,livres,.34,
1013,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,45,Toile ; crin,Flandre autrichienne,100,80,livres,1.25,
1015,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,45,Toile ; étoupe ; de lin,Flandre autrichienne,511,1023,livres,.5,
1035,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Amiens,46,Verres ; vitres,Flandre autrichienne,420,14,paniers,30,
98,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Imports,Amiens,15,Cuivre ; en chaudron,Flandre autrichienne,13356,10685,livres,1.25,
255,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Imports,Amiens,38,Poisson ; de mer,Flandre autrichienne,279,7.75,sommes,36,
315,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Imports,Amiens,45,Toile ; de lin,Flandre autrichienne,145,116,aunes,1.25,
412,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bayonne,7,Bray,Flandre autrichienne,294,8400,livres,.035,
596,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bayonne,18,Eau de vie,Flandre autrichienne,2450,7,pipes,350,
597,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bayonne,18,Eau de vie,Flandre autrichienne,1400,8,bariques,175,
910,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bayonne,38,Plumes ; a lit,Flandre autrichienne,4935,8225,livres,.6,
945,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bayonne,41,Remedes,Flandre autrichienne,1200,,valeur,0,
1044,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bayonne,47,Vin ; de Bordeaux,Flandre autrichienne,416498,1352.25,tonneaux,308,arrondi
419,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bordeaux,8,Caffé ; des Isles,Flandre autrichienne,140,156,livres,.9,
539,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bordeaux,15,Cuirs ; de beuf ; tannés,Flandre autrichienne,501,836,livres,.6,
985,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bordeaux,43,Sucre ; blanc,Flandre autrichienne,3923,12073,livres,.325,arrondi
986,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bordeaux,43,Sucre ; brut,Flandre autrichienne,5177,23012,livres,.225,
344,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,3,Anchois,Flandre autrichienne,231,231,livres,1,
371,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,4,Bas ; de soye,Flandre autrichienne,40,1,estimée,40,
386,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,5,Bois ; d'inde,Flandre autrichienne,300,600,livres,.5,
432,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,8,Capres,Flandre autrichienne,80,80,livres,1,
504,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,13,Confitures,Flandre autrichienne,12,10,livres,1.25,
632,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,20,Etoffe ; mi soye,Flandre autrichienne,21,3.5,livres,6,
679,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,23,Fromage ; de Gruïere,Flandre autrichienne,998,3329,livres,.3,
685,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,23,Fruit ; sec,Flandre autrichienne,48,160,livres,.3,
744,demba,Fonds Gournay – MS86,National par direction/Saint-Brieuc/1751 (-).csv,National par direction,1751,Exports,Bourgogne,27,Huile ; de lin,Flandre autrichienne,1425,1900,livres,.75,
