numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Provence,Amandes en coque,Sardaigne,518,Livres,"0,4",167,"-40,2",Erreur de calcul
2,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Provence,Amandes en coque,Suisse,4896,Livres,"0,4",1958,"-0,4",
3,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Provence,Amandes mondées,Sardaigne,89675,Livres,"0,5",44837,"-0,5",
4,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Dauphiné,Amidon,Sardaigne,521,Livres,"0,3",156,"-0,3",
5,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Marseille,Balais de palme,Suisse,6551,Livres,"0,4",2620,"-0,4",
6,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,,Bestiaux divers,Sardaigne,,,,1957,,En valeur
7,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Dauphiné,Bestiaux agneaux,Sardaigne,850,Nombre,0,3031,,Pas de prix unitaire
8,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Dauphiné,Bestiaux bœufs,Sardaigne,61,Nombre,250,15250,0,
9,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Dauphiné,Bestiaux brebis,Sardaigne,229,Nombre,9,2061,0,
10,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Dauphiné,Bestiaux chevaux,Sardaigne,27,Nombre,400,10800,0,
11,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Dauphiné,Bestiaux moutons,Sardaigne,186,Nombre,9,1674,0,
12,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Dauphiné,Bestiaux vaches,Sardaigne,75,Nombre,80,6000,0,
13,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,,Bas des isles et des Indes divers,Sardaigne,5020,Livres,0,1192,,Pas de prix unitaire
14,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Languedoc,Bonneterie de coton,Sardaigne,879,Livres,7,6153,0,
15,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Languedoc,Bonneterie de coton bonnets,Sardaigne,110,Douzaines,6,660,0,Largeur en lignes : 238
16,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Grenoble.csv,National toutes directions tous partenaires,Exports,3,1789,Grenoble,Grenoble,Languedoc,Bonneterie de coton bonnets,Suisse,68,Douzaines,6,408,0,"Largeur en lignes : 155,5"
