numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,bestiaux beuf,Petites iles,84,pièces,180,15120,0,
2,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,cochons,Petites iles,277,pièces,72,19944,0,
3,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,chevaux,Petites iles,18,pièces,100,1800,0,
4,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,mouton,Petites iles,1000,pièces,6,6000,0,
5,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,vaches,Petites iles,324,pièces,120,38880,0,
6,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,veaux,Petites iles,260,pièces,25,6500,0,
7,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,beurre,Petites iles,795,livres,"0,6",477,0,
8,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,bois à bruler,Petites iles,,valeur,,800,,marchandises en estimation
9,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,bois de construction,Petites iles,,valeur,,1603,,marchandises en estimation
10,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,chanvre,Petites iles,500,livres,"0,5",250,0,en quintal
11,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,charbon de bois,Petites iles,,valeur,,783,,marchandises en estimation
12,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,grains comestibles froment,Petites iles,8640,livres,"0,1",864,0,en quintal
13,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,orge,Petites iles,2800,livres,"0,075",210,0,en quintal
14,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,futailles,Petites iles,96,pièces,4,384,0,
15,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,legumes divers,Petites iles,,valeur,,554,,marchandises en estimation
16,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,feves blanches,Petites iles,52800,livres,,5700,,
17,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,oignon,Petites iles,3347,bottes,,1673,,
18,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,marchandises à la valeur,Petites iles,,valeur,,1010,,marchandises en estimation
19,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,poterie de terre,Petites iles,,valeur,,223,,marchandises en estimation
20,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Pêches Françaises,poisson salé,Petites iles,,valeur,,128,,marchandises en estimation
21,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Pêches Françaises,morue verte,Petites iles,,valeur,,2020,,marchandises en estimation
22,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,toille coutis,Petites iles,466,aunes,"1,8",839,"0,2",
23,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,toille ecrue,Petites iles,369,aunes,"2,3",847,"-1,7",arrondi
24,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Aunis,sel,Bayonne,675875,livres,"0,005",8381,"4860,82",25lt les 4800 livress
25,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,sel,Petites iles,70025,livres,"0,005",1612,"1247,29",25lt les 4800 livress
26,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,3,1789,La Rochelle,Les Sables d'Olonne,Poitou,volaille,Petites iles,,valeur,,187,,marchandises en estimation
27,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,cheval,Petites iles,1,pièces,120,120,0,Bestiaux et bêtes de sommmes et autres animaux
28,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,cochons,Petites iles,14,pièces,30,420,0,Bestiaux et bêtes de sommmes et autres animaux
29,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,mouton,Petites iles,32,pièces,15,480,0,Bestiaux et bêtes de sommmes et autres animaux
30,Ahmed,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – La Rochelle.csv,National toutes directions tous partenaires,Exportations,5,1789,La Rochelle,Aligre,Poitou,veaux,Petites iles,12,pièces,15,180,0,Bestiaux et bêtes de sommmes et autres animaux
