numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux divers,Espagne,,,,416,0,,En valeur
2,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux bœufs,Espagne,29,Nombre,120,3480,0,,
3,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux brebis,Espagne,252,Nombre,6,1512,0,,
4,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux chevres,Espagne,466,Nombre,12,5192,-400,,Erreur de calcul
5,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux cochons,Espagne,74,Nombre,50,3700,0,,
6,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux moutons,Espagne,1270,Nombre,12,15240,0,,
7,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bois en cercles,Espagne,,,,1256,0,,En valeur
8,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Cire en grain,Espagne,52,Livres,2,104,0,,
9,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Colle commune,Espagne,525,Livres,"0,36",189,0,,
10,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National toutes directions tous partenaires,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Draperie,Espagne,2071,Aunes,18,36918,-360,4142,Erreur de calcul
