numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,probleme,prix_unitaire,doubleaccounts
1,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Acier,Suede,21746,72487,Livre,,,,
2,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Agrès de navire,Russie,102800,282000,Livre,,,,
3,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Baleine en fanon,Etats Unis,90350,39650,Livre,,,,
4,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Beige,Angleterre,800,150,Nombre,,,,
5,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Beurre,Angleterre,5600,8700,Livre,Plus 50 Quinteaux à 25 Lt Le Quintal,0,"0,5",1
5,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Beurre,Angleterre,5600,50,quintaux,Plus 50 Quinteaux à 25 Lt Le Quintal,0,25,2
6,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Beurre,Etats Unis,875,1750,Livre,,0,"0,5",
7,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bierre,Hollande,23224,,?,,,,
8,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bonnetterie; diverse,Angleterre,2400,,,,,,
9,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,2,Bonnetterie; en tricot de laine,Angleterre,3000,,,,,,
