numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,bierre,Petites iles,"208,0",pintes,"0,0000000","20,00",,marchandises en estimation
2,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,bois en barres d'anspect,Petites iles,"72,0",pièces,"1,5000000","108,00",,
3,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,bois en planches,Petites iles,"8 398,0",pièces,"1,0000000","8 398,00",,
4,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,marchandises à la valeur,Petites iles,,valeur,"0,0000000","181,00",,Marchandises en estimation
5,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,poisson salé divers,Petites iles,,valeur,"0,0000000","358,00",,Marchandises en estimation
6,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,sardines,Petites iles,"1 766,00",livres,"0,0000000","1 193,00",,15500 en nombre
7,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,sel,Petites iles,"501 750,00",livres,"0,0000000","6 690,00",,marchandises en estimation
8,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,vin rouge,Petites iles,"69,69",muids,"0,0000000","2 790,00",,
9,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,vin blanc,Petites iles,"567,00",muids,"0,0000000","22 680,00",,marchandises en estimation
10,Ahmed,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – La Rochelle.csv,National toutes directions tous partenaires,Importations,2,1789,La Rochelle,Les Sables d'olonne,,vinaigre,Petites iles,"21,00",muids,"28,0000000","588,00","0,00",
