numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Acier,"Suisse, les alliés et Genève",58800,Livres,"0,36",21168,0,,
2,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en chevres,"Suisse, les alliés et Genève",173,Nombre,12,2076,0,,
3,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en moutons,"Suisse, les alliés et Genève",3213,Nombre,20,64260,0,,
4,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en porcs,"Suisse, les alliés et Genève",5428,Nombre,30,162840,0,,
5,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en vaches,"Suisse, les alliés et Genève",143,Nombre,120,17160,0,,
6,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en veaux,"Suisse, les alliés et Genève",6,Nombre,25,150,0,,
7,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Beurre,"Suisse, les alliés et Genève",280,Livres,"0,75",210,0,,
8,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Bierre,"Suisse, les alliés et Genève",25,Muids,,1200,,,"Pas de prix unitaire, Muids de Paris"
9,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Chairs salées en lard,"Suisse, les alliés et Genève",350,Livres,"0,6",210,0,,
10,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Lyon,Chapeaux poil et laine,"Suisse, les alliés et Genève",14,Douzaines,72,1008,0,,
11,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Bourgogne,Cire en bougie,"Suisse, les alliés et Genève",275,Livres,3,825,0,,
12,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Marseille,Coton en laine du Levant,"Suisse, les alliés et Genève",4564,Livres,"2,25",10269,0,,
13,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Franche comté,Eau de vie simple,"Suisse, les alliés et Genève","15,63",Muids,,2812,,,15 muids et 180 pintes estimés à 2812
14,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,,Etoffes diverses à la valeur,"Suisse, les alliés et Genève",,,,165,0,,En valeur
15,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Amiens,Etoffes de laine en camelot,"Suisse, les alliés et Genève",150,Aunes,3,450,0,60,
16,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Flandre,Etoffes de laine en callemande,"Suisse, les alliés et Genève",37,Aunes,,118,,,37 aunes estimées à 118£
17,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Amiens,Etoffes de laine espagnolette,"Suisse, les alliés et Genève",25,Livres,7,175,0,,
18,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Paris,Etoffes de laine espagnolette,"Suisse, les alliés et Genève",110,Livres,7,770,0,,
19,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Flandre,Etoffes de laine minorque,"Suisse, les alliés et Genève",78,Aunes,,175,,,78 aunes estimées à 175£
20,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National toutes directions tous partenaires,Exports,3,1789,Besancon,Jougne,Paris,Etoffes de laine royale,"Suisse, les alliés et Genève",60,Livres,5,300,0,,
