numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,probleme,prix_unitaire
1,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Amandes,Marseille,49466,"761,02",Quintal,Unité d'origine Livre,"-0,3",65
2,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Amidon,Marseille,2910,"72,76",Quintal,Unité d'origine Livre,"-0,4",40
3,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Balais de palme,Espagne,4044,3370,Douzaine,,0,"1,2"
4,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Bois; Pour peinture et teinture,Marseille,256,"17,07",Quintal,Unité d'origine Livre,"-0,05",15
5,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Bois; Pour peinture et teinture,Sardaigne,1765,"117,68",Quintal,Unité d'origine Livre,"-0,2",15
6,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Bois; De Ste Marthe,Marseille,4750,95,Quintal,Unité d'origine Livre,0,50
7,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Bonnetterie diverse,Marseille,132,,,,132,0
8,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Bray?; Bray,Marseille,4643,"316,19",Quintal,Unité d'origine Livre,"-99,85",15
9,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Bray?; Goudron,Marseille,576,"38,4",Quintal,Unité d'origine Livre,0,15
10,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cacao,Marseille,5547,"44,38",Quintal,Unité d'origine Livre,"-0,5",125
11,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cendres;,Marseille,891,6480,Livre,,891,0
12,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cendres; De Sicile,Marseille,1104,"73,65",Quintal,Unité d'origine Livre,"-0,75",15
13,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cendres; Potasse,Marseille,3083,"102,76",Quintal,Unité d'origine Livre,"0,2",30
14,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cire jaune;,Marseille,14926,"99,51",Quintal,Unité d'origine Livre,"-0,5",150
15,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cire jaune; En bougie,Marseille,210,"0,7",Quintal,Unité d'origine Livre,35,250
16,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Chairs salées saucissons,Marseille,15333,"95,83",Quintal,Unité d'origine Livre,"0,2",160
17,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Chanvre; Ecru,Marseille,29649,"658,86",Quintal,Unité d'origine Livre,"0,3",45
18,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Chanvre; Ecru,Espagne,1022,"22,71",Quintal,Unité d'origine Livre,"0,05",45
19,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Chanvre; Ecru,Sardaigne,8019,"178,2",Quintal,Unité d'origine Livre,0,45
20,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Chanvre; Peigné,Marseille,22414,"280,17",Quintal,Unité d'origine Livre,"0,4",80
21,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Chanvre; Peigné,Sardaigne,18176,"227,2",Quintal,Unité d'origine Livre,0,80
22,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Chapeaux poil et laine,Marseille,1224,17,Douzaine,,0,72
23,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Charbon de bois,Espagne,742,270,Quintal,Unité d'origine Livre,"-0,5","2,75"
24,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Colle forte,Marseille,16108,"322,16",Quintal,Unité d'origine Livre,0,50
25,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Coton filé;,Marseille,115240,28810,Livre,,0,4
26,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Coton filé; En laine,Marseille,253235,202588,Livre,,0,"1,25"
27,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cornes de bœuf,Marseille,192,"19,2",Quintal,Unité d'origine Livre,0,10
28,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cuirs de bœuf en poil,Marseille,19093,"254,58",Quintal,,"-0,5",75
29,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cuirs de bœuf en poil,Sardaigne,9600,128,Quintal,,0,75
30,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National toutes directions tous partenaires,1789,Imports,Montpellier,Agde,3,Cuivre; brut,Marseille,7356,"49,04",Quintal,Unité d'origine Livre,0,150
