numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Tarbes,3,Huile,Espagne,950,Livres,"0,5",475,0,50 livres le quintal
2,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Bestiaux bivers,Espagne,,,,2234,0,En valeur
3,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Bestiaux vaches,Espagne,12,Nombre,60,960,240,Erreur de calcul
4,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Cuirs de vaches en poil,Espagne,115,Nombre,6,690,0,
5,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Draperie de laine,Espagne,40,Livres,"5,5",220,0,
6,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Fromage,Espagne,4305,Livres,"0,4",1722,0,40 livres le quintal
7,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Huile d'olive,Espagne,149168,Livres,"0,5",74584,0,50 livres le quintal
8,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Laine,Espagne,50170,Livres,1,50170,0,
9,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Marchandises à la valeur,Espagne,,,,274,0,
10,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Béat,5,Sel,Espagne,,Livres,"0,07",2485,2485,7 muids 4 setiers et 3 minots
11,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Bêtes de somme et bestiaux,Espagne,,,,270,0,
12,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Bêtes de somme et poulin,Espagne,4,Nombre,240,960,0,
13,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Bêtes de somme et bœufs,Espagne,16,Nombre,100,1600,0,
14,Laura Moutou,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National toutes directions tous partenaires,Imports,1789,Auch,Saint Girons,7,Ceintures de laine,Espagne,240,Nombre,3,720,0,
