numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Acier,Hollande,"449,5",baril,,,,
2,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Acier,Suede,414,baril,,,,
3,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Acier,Hambourg,80,baril,,,,
4,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Acier,Norvège,3,baril,,,,
5,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Acier,Göteborg,189,baril,,,,
6,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Acier,Göteborg,360,baril,,,,
7,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Acier en bottes pour la Compagnie des Indes,Hambourg,4860,livres,,,,Pour la Compagnie des Indes
8,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Ancre de fer,Hollande,43,en nombre,,,,
9,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Ancre de fer,Hollande,84,en nombre,,,,Pesant 63248 livres
10,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Avirons de chesne,Norvège,55,avirons,,,,
11,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Avirons de sapin,Espagne,163,traques,,,,"135 traques, 3 avirons a la traque"
12,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Avirons,Espagne,116,traques,,,,
13,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Arbre,Irlande,60,pieds,,,,
14,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Arrosoir de terre,Göteborg,456,en nombre,,,,
15,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Armoire de sapin,Hollande,1,en nombre,,,,
16,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Asperges ; plants,Hollande,200,en nombre,,,,
17,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Alun,Göteborg,840,livres,,,,
18,Torsten,AD44 C706,Out/Nantes - Imports - 1734 - bis.csv,Out,1734,Imports,Nantes,1,,Amidon,Hambourg,52864,livres,,,,
