dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,prix_unitaire
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Alger,66.3,39,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Angleterre,51,30,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Autriche,725.9,427,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Belgique,27.2,16,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Deux-Siciles,16714.4,9832,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Egypte,445.4,262,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Espagne,1536.8,904,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Etats Sardes,20937.2,12316,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Etats romains,215.9,127,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Etats-Unis,34,20,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Martinique,51,30,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Pérou,86.7,51,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Suisse,5842.9,3437,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Suède,132.6,78,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Toscane,5011.6,2948,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,375,Acétates ; de plomb,Villes anséatiques,51,30,51930,Kilo,1.7
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Alger,286,130,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Angleterre,110,50,5304,Kilo,2.2
Pierre Holegien,Tableau Général 1839,Out/1839.csv,Out,1839,Exports,323,Aloès,Deux-Siciles,657.8,299,5304,Kilo,2.2
