numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Acier,Espagne,1060,,3030,,,,126893,livres,,,,,,,,,,
2,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Acier,Levant,1708,,4880,,,,126893,livres,,,,,,,,,,
3,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Acier,Suisse,119700,,342000,,,,126893,livres,,,,,,,,,,
4,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Acier,Etats-Unis,3289,,9400,,,,126893,livres,,,,,,,,,,
5,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Acier,Isles,1136,,3246,,,,126893,livres,,,,,,,,,,
6,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Affuts de canon,Isles,1800,,60,,,,,en nombre,,,,,,,,,,
7,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Agneaux,Savoye,1464,,732,,,,,en nombre,,,,,,,,,,
8,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Ajustements,Allemagne,5701,,,,,,,,,,,,,,,,,
9,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Aloës,Hollande,6000,,1500,,,,7746,livres,,,,,,,,,,
10,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Aloës,Suisse,1746,,582,,,,7746,livres,,,,,,,,,,
11,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Alun,Danemark,2404,,12020,,,,17416,livres,,,,,,,,,,
12,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Alun,Hollande,1376,,6880,,,,17416,livres,,,,,,,,,,
13,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Alun,Italie,2437,,12185,,,,17416,livres,,,,,,,,,,
14,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Alun,Genes,1146,,5730,,,,17416,livres,,,,,,,,,,
15,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Alun,Levant,3458,,17790,,,,17416,livres,,,,,,,,,,
16,Fatima Zahra,AN F12 248,Objet Général,1780,Exports,,,3,Alun,Savoye,1049,,5245,,,,17416,livres,,,,,,,,,,
