numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,DoubleAccounts
1,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Abbatis de morue,Pêches françaises,2063,,,,,,,0
2,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Agrès et apparaux,Europe,20280,,,,,,,0
3,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Aiguilles à coudre,Europe,400271,,,,,,,0
4,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Ail,Europe,38638,,,,,,,0
5,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Alquifoux ou mine de plomb,Europe,,1254824,,livres,,,,0
6,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Alun,Europe,,1722258,,livres,,,,0
7,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Amandes,Europe,,1357710,,livres,,,,0
8,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Amidon,Europe,,894139,,livres,,,,0
9,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Anchois,Europe,,897139,,livres,,,,
10,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Anis,Europe,,177784,,livres,,,,
11,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Anis étoilé,Asie,,1840,,livres,,,,
12,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Antimoine,Europe,,12900,,livres,,,,
13,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Ardoises,Europe,,,,,,,,
14,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Argent en lingots,Europe,717600,,,,,,,
15,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Argent monnayé,Europe,37529427,,,,,,,
16,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Argent vif,Europe,,32422,,livres,,,,
17,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Argenterie,Europe,51070,,,,,,,
18,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Armes diverses,Europe,2184849,,,,,,,
19,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Arsenic,Europe,,15900,,livres,,,,
20,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Avoine,Europe,,3308244,,livres,,,,
21,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Azur,Europe,,232863,,livres,,,,
22,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Balais,Europe,212441,,,,,,,
23,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Baleine coupée et en fanons,Europe,,90140,,livres,,,,
24,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Balaine coupée et en fanons,Pêches françaises,,177653,,livres,,,,
25,Esther Benbassat,F_12_252_1792 (0139->0226).pdf,National/Objet Général/AN Paris/F_12_252_1792 (0139->0226).csv,Objet Général,1792 - 1er semestre,Imports,21,Bestiaux de toutes sortes,Europe,48302,,,,,,,
