hypothese,marchandises,definition,nbre d’occurrences,remarques
0,abafine,"erreur, = ""abassis""",,
0,"abassi, abassis","Abagi ou Abassi, ""monnoie qui a cours en Perse"", article ""Abagi"", Jacques Savary des Brûlons, Dictionnaire universel de commerce, vol. 1, Paris, Vve Estienne, 1741, p. 559 [ci-après Savary, Dictionnaire 1], article ""Abagi"".",,
0,acon,"""Embarcation à fond plat, servant à divers usages"". Trésor de la Langue Française Informatisé, http://www.cnrtl.fr/definition/portail, TLFI [ci-après CNRTL/TLFI], article ""Ac(c)on""",,
0,"acorus, accorus, acore","Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers, par une Société de Gens de lettres, Denis Diderot et Jean Le Rond d'Alembert éds., 1751-1772 [ci-après Encyclopédie], article ""Acorus"". ""On donne aujourd'hui le nom d'acorus à trois racines différentes, le vrai acorus, l'acorus des Indes, & le faux acorus [...]"". Cf. aussi Savary, Dictionnaire 1, ""La racine de l'acorus est de quelque usage dans la médecine étant un des ingrédients qui entrent dans la composition du Thériaque. Les parfumeurs en emploient aussi beaucoup"".",,
0,acuirson ,Erreur de retranscription (c’était « aviron »),,
0,"adragant, adraganthe, adragathe (gomme)","Adragant, gomme, suc gommeux, Encyclopédie, article ""Adragant"".",,
0,agaric,"Savary, volume 1, 1741, article ""agaric"", Sorte de champignon. Trois sortes, l'agaric mâle (colorant), femelle et faux (pas d'utilité). A propos de l'agaric femelle, ""est le plus estimé car il a beaucoup d'usage dans la médecine"". Agaric amadouvier: ""nom donné à l'agaric de chêne qui fournit l'amadou"", CNRTL/TLFI,, article ""Amadouvier"".",,
0,agneline,"Dictionnaire de l'Académie française, 6e Edition (1832-5) [ci-après Académie 6 éd.], article ""agneline"", ""se dit de la laine qui vient des agneaux"".",,
0,agoutal,"N. du Puitspelu [C. Tisseur], Dictionnaire étymologique du patois lyonnais, Lyon, Libraire Générale Henri George, 1887-1889, article ""Agottiau"", ""Vfr. agottail, agottal, pr. agouta agoutal — Écope"".",,
0,aigledon,"""duvet d'eider"", ATILF.",,
