numerodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantity,quantity_unit,value,prix_unitaire,Remarques
1,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1728,Imports,Beurre salé,Rouen,Angleterre,814600,livres,,"0,5",
2,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1728,Imports,Beurre salé,Rouen,Hollande,7925,livres,,"0,5",
3,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1728,Imports,Beurre salé,Rouen,Portugal,4900,livres,,"0,5",
4,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1728,Imports,Bœuf salé,Rouen,Angleterre,689500,livres,,22,3448 barils
5,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1728,Imports,Café,Rouen,Du levant,83,livres,,"0,7",
6,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1728,Imports,Charbon de terre,Rouen,Angleterre,11881500,livres,,5,47526 barils
7,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1728,Imports,Indigo,Rouen,Hollande,15844,livres,,"2,6",
8,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Beurre salé,Rouen,Angleterre,2301300,livres,,"0,5",
9,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Beurre salé,Rouen,Hollande,22025,livres,,"0,5",
10,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Beurre salé,Rouen,Nord,862,livres,,"0,5",
11,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Bœuf salé,Rouen,Angleterre,1846000,livres,,22,9230 barils
12,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Café,Rouen,Ile français d'amérique,115,livres,,"0,7",
13,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Charbon de terre,Rouen,Angleterre,14303000,livres,,5,57212 barils
14,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Indigo,Rouen,Hollande,10475,livres,,"2,6",
15,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1731,Imports,Indigo,Rouen,Ile français d'amérique,4085,livres,,"2,6",
16,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1733,Imports,Beurre salé,Rouen,Angleterre,980225,livres,,"0,5",
17,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1733,Imports,Beurre salé,Rouen,Hollande,4270,livres,,"0,5",
18,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1733,Imports,Bœuf salé,Rouen,Angleterre,1039000,livres,,22,5195 barils
19,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1733,Imports,Charbon de terre,Rouen,Angleterre,11253250,livres,,5,45013 barils
20,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1733,Imports,Indigo,Rouen,Espagne,4330,livres,,"2,6",
21,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1733,Imports,Indigo,Rouen,Hollande,10696,livres,,"2,6",
22,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Beurre salé,Rouen,Angleterre,657850,livres,,"0,5",
23,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Beurre salé,Rouen,Hollande,4500,livres,,"0,5",
24,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Beurre salé,Rouen,Nord,500,livres,,"0,5",
25,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Bœuf salé,Rouen,Angleterre,1907500,livres,,22,9538 barils
26,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Café,Rouen,Ile français d'amérique,775,livres,,"0,7",
27,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Charbon de terre,Rouen,Angleterre,18488500,livres,,5,73954 barils
28,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Indigo,Rouen,Espagne,1275,livres,,"2,6",
29,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,52,1734,Imports,Indigo,Rouen,Hollande,5936,livres,,"2,6",
