numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Amidon,,153,340,Marseille,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Amandes en coques,,68827,172067,Provence,,livres,151650,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,40,Amandes en coques,,62364,155910,Provence,,livres,151650,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,40,Amandes en coques,,18574,46435,Provence,,livres,151650,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,40,Amandes en coques,,1885,4712,Provence,,livres,151650,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Amandes cassées,,2794,4989,Provence,,livres,7488,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,40,Amandes cassées,,3396,6064,Provence,,livres,7488,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,40,Amandes cassées,,1298,2318,Provence,,livres,7488,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Armes à feu,,200,,St Etienne,,,2770,,,,,Pas de quantité indiquée,0
10,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,40,Armes à feu,,1960,,St Etienne,,,2770,,,,,Pas de quantité indiquée,0
11,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,40,Armes à feu,,610,,St Etienne,,,2770,,,,,Pas de quantité indiquée,0
12,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,40,Armes à feu,,5200,,St Etienne,,,,,,,,Pas de quantité indiquée,0
13,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,40,Armes à feu,,336,,Marseille,,,,,,,,Pas de quantité indiquée,0
14,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Balais,,330,824,Étranger,,en nombre,960,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,40,Balais,,510,1275,Étranger,,en nombre,960,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,40,Balais,,120,300,Étranger,,en nombre,960,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Bandages de peau,,710,,Marseille,,,1606,,,,,Pas de quantité indiquée,0
18,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,40,Bandages de peau,,776,,Marseille,,,1606,,,,,Pas de quantité indiquée,0
19,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,40,Bandages de peau,,120,,Marseille,,,1606,,,,,Pas de quantité indiquée,0
20,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Bierre,,648,5,Marseille,,muids,1224,,,,,,1
21,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Bierre,,648,210,Marseille,,pintes,1224,,,,,,2
22,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Bierre,,648,400,Marseille,,bouteilles,1224,,,,,,2
23,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,40,Bierre,,576,6,Marseille,,muids,1224,,,,,,1
24,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,40,Bierre,,576,72,Marseille,,pintes,1224,,,,,,2
25,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,40,Bierre,,144,1,Marseille,,muids,,,,,,,1
26,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,40,Bierre,,144,162,Marseille,,pintes,,,,,,,2
27,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,40,Bijouterie,,12114,,Isle de France,,,12759,,,,,Pas de quantité indiquée,0
28,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,40,Bijouterie,,525,,Isle de France,,,12759,,,,,Pas de quantité indiquée,0
29,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,40,Bijouterie,,120,,Isle de France,,,12759,,,,,Pas de quantité indiquée,0
