numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,value,remarks
1,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Bois d'Inde de Campeche,454 000,livres,62 300,
2,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Bois de Sainte Marthe,98 300,livres,49 100,
3,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Bois de Sandal,100 000,livres,20 000,
4,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Cendre dite soude,367 200,livres,33 000,
5,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Charbon de terre,90 600,muids,3 781 800,
6,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Cuivre,27 100,livres,35 700,
7,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Etain,694 500,livres,701 400,
8,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,fer divers,982 200,livres,84 500,
9,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Graines diverses,16 200,livres,9 300,
10,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Graines de Lin,60 200,livres,13 000,
11,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Plomb,3 074 700,livres,751 000,
12,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Suif en pain,27 800,livres,13 200,
13,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Laine,219 800,livres,344 600,
14,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Gaze de Soye ,680,livres,54 700,
15,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Toile peinte,22 760,livres,367 500,
16,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Toile de Coton diverses,187 680,livres,2 385 600,
17,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Toile Nankin,8 660,livres,69 400,
18,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Eaux et huiles spiritueuse,39 100,livres,39 000,
19,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Estampes,3 160,,16 200,
20,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,harnais et sellerie,,,19 600,
21,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Marchandises mêlées,,,18 700,
22,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Meules a Taillandier,17 000,nombre,42 000,
23,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,orfeverie en argenterie,1 381,marcs,68 900,
24,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Peaux Meslées,,,18 400,
25,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Pelleterie peaux de Castor,6 950,livres,48 600,
26,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Suif en Chandelle,49 800,livres,34 400,
27,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Verres de Cristal,3 640,livres,19 400,
28,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Voitures,543,nombre,771 900,
29,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Imports,Angleterre,Betes de somme en chevaux,729,nombre,428 100,
30,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Bois Feuillard et Cercles,566 200,nombre,23 300,
31,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Bray et Gaudron,167 400,livres,19 600,
32,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Bray Resine,391 200,livres,20 600,
33,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Cuivre,12 800,livres,15 300,
34,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Graines diverses,15 000,livres,12 100,
35,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Graines de Lin,954 800,livres,127 800,
36,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Graines de foin Luzerne et treffle,34 400,livres,16 200,
37,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Souffre,96 600,livres,11 400,
38,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Laine,42 700,livres,212 800,
39,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Soye,4 960,livres,117 000,
40,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Bonneterie de Coton,5 640,livres,28 300,
41,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Bonneterie de Soie,938,livres,49 000,
42,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Dentelle de fil,461,livres,437 000,
43,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Dentelle de Soie,4 300,livres,1 635 300,
44,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Etoffe de Coton,1 080,livres,10 000,
45,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Etoffe de Soie,3 680,livres,196 200,
46,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Gaze de Soie,236,livres,19 100,
47,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Toiles Meslées,,,100 200,
48,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Toiles peinte,3 310,livres,25 600,
49,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Toiles de Lin diverse,13 820,livres,36 500,
50,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Toiles batiste,372 610,aunes,2 226 600,
51,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Toile de fil et Coton Siamoise,6 100,livres,32 800,
52,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Toile de chanvre,25 000,livres,39 000,
53,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Cheveux,,,15 400,
54,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Cuirs apretés ,8 600,livres,13 900,168 en nombre
55,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Eaux et huiles spiritueuses,,,11 400,
56,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Gants de Grenoble,5 640,livres,67 700,
57,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Gants de peaux,780,livres,9 400,
58,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Librairie,4 900,livres,10 100,
59,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Liege en planche,145 000,livres,34 400,
60,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Liege en Bouchons,9 765,livres,13 600,
61,Demba,AN F12 1835,National/Divers – in/Angleterre 1784.csv,Divers – in,1784,4,Exports,Angleterre,Marchandises mêlées,,,33 100,
