numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks,doubleaccounts
26,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bestiaux divers,Espagne,4524,,,,,0
27,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bestiaux divers ; bœuf et vaches,Espagne,,1035,en nombre,,,0
28,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bestiaux divers ; moutons et brebis,Espagne,,51367,en nombre,,,0
29,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bestiaux divers ; porcs et porcelets,Espagne,,1617,en nombre,,,0
30,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bestiaux divers ; mules mulets et ânes,Espagne,,6791,en nombre,,,0
31,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Blé froment par Bayonne et Marseille,Espagne,,68969,quintaux,,,0
32,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Blé seigle par Marseille,Espagne,,14904,quintaux,,,0
33,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Blé maïs par Marseille,Espagne,,"5687,5",quintaux,,,0
34,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Blé orge par Marseille,Espagne,,12249,quintaux,,,0
35,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bonneteries diverses,Espagne,80054,,,,,0
36,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bonneteries diverses ; de soie,Espagne,,13742,paires,,,1
37,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bonneteries diverses ; de soie,Espagne,,"58,5",quintaux,,,2
38,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bougie,Espagne,,"59,23",quintaux,,,0
39,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Bray et goudron,Espagne,,"20775,37",quintaux,,,0
40,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Cacao étranger,Espagne,,"950,07",quintaux,,,0
41,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Cannelle,Espagne,,"27,21",quintaux,,,0
42,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Cendre potasse,Espagne,,"1157,65",quintaux,,,0
43,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Chairs salées de toutes sortes,Espagne,,"984,28",quintaux,,,0
44,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Chanvre,Espagne,,6257,quintaux,,,0
45,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Chapeaux divers,Espagne,360152,,,,,0
46,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Cire blanche et jaune,Espagne,,"662,68",quintaux,,,0
47,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Coton en laine,Espagne,,"187,05",quintaux,,,0
48,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Coton filé,Espagne,,"857,76",quintaux,,,0
49,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,41,Cuirs divers,Espagne,73896,,,,,0
85,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Dentelles de soie,Espagne,,"6,3",quintaux,,,0
86,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Dorure fine,Espagne,81763,,,,,0
87,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Draperie de toutes sortes,Espagne,1267121,,,,,0
88,Cyril Mouton,AN F12 252,National/Divers - in/Résultats du CE 1792.csv,1792-first semestre,1792,Exports,42,Drogueries,Espagne,197961,,,,,0
