numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,value,remarks
1,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,alun,427000,livres,152000,
2,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Laines,256000,livres,389000,
3,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Matiéres d'or ou d'argent en lustres,,,65000,
4,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Gaze de Soye,553,livres,44000, avec passeport
5,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Toile de Coton,55000,livres,753000,25000 aunes estimées 55000 livres
6,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Toile peinte,6800,livres,85000,manques unité de compte
7,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Cuirs Vert en poil,1565,nombre,25000,
8,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Chandelles,90000,livres,63000,
9,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Meules a Taillandier,12800,nombre,406000,
10,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,orfeverie en argent,1860,marcs,77000,
11,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Suif,150000,livres,74000,
12,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Voitures,534,nombre,793000,
13,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Beurre,1291000,livres,730000,
14,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Chairs Salées,8780000,livres,2611000,
15,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Morues,1178000,livres,391000,
16,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Saumons,119000,livres,47000,
17,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Sucre rafiné,173000,livres,138000,
18,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Bètes de Somme en chevaux,672,nombre,400000,
19,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Charbon de terre,58300,muids,2197000,
20,Demba,AN F12 1835,National/Divers – in/Angleterre 1783.csv,Divers – in,1783,3,Imports,Angleterre,Cuivre,41000,livres,47000,
