dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,direction,pays,value,probleme,remarks
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Constantinople,"3 753 360,00","-3 753 360,00",10 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Smirne,"2 354 957,00","-2 354 957,00",21 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Alexandrette,"2 448 630,00","-2 448 630,00",7 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Seydes,"2 475 052,00","-2 475 052,00",21 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Tripoly de Syrie,"578 760,00","-578 760,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Chypres,"415 987,00","-415 987,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Egypte,"2 659 324,00","-2 659 324,00",9 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Salonique,"598 319,00","-598 319,00",11 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Archypel,"1 992 903,00","-1 992 903,00",66 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Morée,"375 989,00","-375 989,00",12 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Candie,"797 572,00","-797 572,00",30 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,2,1720,Imports,Marseille,Barbarie,"914 368,00","-914 368,00",28 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Constantinople,"483 302,00","-483 302,00",4 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Smirne,"462 259,00","-462 259,00",3 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Alexandrette,"163 060,00","-163 060,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Seydes,"1 323 150,00","-1 323 150,00",12 batiments
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Tripoly de Syrie,"63 662,00","-63 662,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Chypres,"4 950,00","-4 950,00",1 batiment
Anthony Rebours,Fond Montyon 101FOSS/25,National/Divers – in/Levant – Imports – 1720-1722,National,3,1721,Imports,Marseille,Egypte,"1 949 624,00","-1 949 624,00",10 batiments
