numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,doubleaccounts
1,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Abbatis de morue,Pêches françaises,2063,,,,0
2,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Agrès et apparaux,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",20280,,,,0
3,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Aiguilles à coudre,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",400271,,,,0
4,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Ail,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",38638,,,,0
5,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Alquifoux ou mine de plomb,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1254824,livres,,0
6,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Alun,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1722258,livres,,0
7,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Amandes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1357710,livres,,0
8,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Amidon,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,894139,livres,,0
9,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Anchois,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,897139,livres,,0
10,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Anis,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,177784,livres,,0
11,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Anis étoilé,Asie,,1840,livres,,0
12,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Antimoine,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,12900,livres,,0
13,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Argent en lingots,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",717600,,,,0
14,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Argent monnayé,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",37529427,,,,0
15,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Argent vif,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,32422,livres,,0
16,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Argenterie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",51070,,,,0
17,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Armes diverses,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",2184849,,,,0
18,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Arsenic,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,15900,livres,,0
19,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Avoine,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,3308244,livres,,0
20,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Azur,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,232863,livres,,0
21,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Balais,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",212441,,,,0
22,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Baleine coupée et en fanons,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,90140,livres,,0
23,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,21,Balaine coupée et en fanons,Pêches françaises,,177653,livres,,0
