numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks,doubleaccounts
1,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Ambre jaune,La Hollande,"3,75",5,Livres,.75,0,,0
2,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Arcenic,La Hollande,"90,25",450,Livres,.2,25,,0
3,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Canelle,La Hollande,510,85,Livres,6,0,,0
4,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Cuivre en planches,La Hollande,14010,9340,Livres,1.5,0,,0
5,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Corne de cerf,La Hollande,150,750,Livres,.2,0,,0
6,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Colle forte,La Hollande,5190,12975,Livres,.4,0,,0
7,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Ceruze,La Hollande,500,1250,Livres,.4,0,,0
8,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Couperoze verte,La Hollande,"672,5",6725,Livres,.1,0,,0
9,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Charbon de terre,La Hollande,7050,2350,Barils,3,0,,0
10,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Charbon de terre,La Hollande,2766,276600,Livres,.01,0,,0
11,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Crin,La Hollande,120,150,Livres,.8,0,,0
12,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Douelles a tonneau,La Hollande,2100,30,Milliers,70,0,,0
13,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Etain en bloc,La Hollande,645,860,Livres,.75,0,,0
14,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Fromage,La Hollande,575,2300,Livres,.25,0,,0
15,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Fer blanc,La Hollande,360,12,Barils,30,0,,0
16,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Geroffe,La Hollande,350,50,Livres,7,0,,0
17,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Graine de choux,La Hollande,10,5,Livres,2,0,,0
18,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Garance,La Hollande,4517,9034,Livres,.5,0,,0
19,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Harans,La Hollande,2480,62,Barils,40,0,,0
20,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Litarge,La Hollande,98,560,Livres,.175,0,,0
21,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Macis,La Hollande,24,2,Livres,12,0,,0
22,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Poivre noir,La Hollande,63385,63385,Livres,1,0,,0
23,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,39,Plomb en saumon,La Hollande,44995,224975,Livres,.2,0,,0
24,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Plaques de fer,La Hollande,3720,9300,Livres,.4,0,,0
25,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Pipes à fumer,La Hollande,750,150,Grosses,5,0,,0
26,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Quincaille de cuivre,La Hollande,144,72,Livres,2,0,,0
27,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Saumon salé,La Hollande,1350,15,Barils,90,0,,0
28,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Anis vert,L'Espagne,"1043,75",4175,Livres,.25,0,,0
29,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Aulx,L'Espagne,"22,5",300,Livres,.075,0,Plluriel d'aïl (ancien),0
30,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Arquifou,L'Espagne,"18922,5",126150,Livres,.15,0,,0
31,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Auf,L'Espagne,4760,95200,Livres,.05,0,,0
32,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Balais de palme,L'Espagne,4020,2680,Douzaines,1.5,0,,0
33,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Balais de palme,L'Espagne,650,13000,Livres,.05,0,,0
34,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Citrons,L'Espagne,296,37,Caisses,8,0,,0
35,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Citrons,L'Espagne,1320,55,Milliers,24,0,,0
36,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Cochenille,L'Espagne,12325,493,Livres,25,0,,0
37,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Cordes d'auf,L'Espagne,"1646,85",26350,Livres,.0625,-3,,0
38,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Huile d'olive,L'Espagne,"57303,75",163725,Livres,.35,0,,0
39,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Jalap,L'Espagne,348,174,Livres,2,0,,0
40,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Jonquine,L'Espagne,"5931,25",118625,Livres,.05,0,,0
41,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Laine lavée,L'Espagne,120270,80180,Livres,1.5,0,,0
42,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Liège,L'Espagne,"40534,35",231625,Livres,.175,-3,,0
43,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Noisettes,L'Espagne,"197,5",3950,Livres,.05,0,,0
44,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Oranges aigres,L'Espagne,1170,39,Milliers,30,0,,0
45,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Quinquina,L'Espagne,2403,801,Livres,3,0,,0
46,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Rouge brun,L'Espagne,"47,5",475,Livres,.1,0,,0
47,Laura Moutou,AD 34 C5488,Local/Montpellier/Années_1730.csv,Local,1732,Imports,Montpellier,40,Sardines,L'Espagne,330,110,Barils,3,0,,0
