numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
1,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,218,Aloes,11596,5271,11596,Kilo,2.2
2,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,216,Baumes ; Benjoin,11598,3866,11598,Kilo,3
3,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,216,Baumes ; Copahu,22346,11173,22346,Kilo,2
4,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,216,"Baumes ; Storax préparé, liquide",14430,9019,14430,Kilo,1.6
5,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,218,Camphre brut,52496,13124,52496,Kilo,4
6,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,220,Camphre raffiné,24684,2904,24684,Kilo,8.5
7,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,172,Cantharides,21410,2141,21410,Kilo,10
8,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,174,Castoreum,8640,108,8640,Kilo,80
9,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,176,Cornes de cerf ; Râpures,1028,1468,1028,Kilo,0.7
10,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,176,Cornes de cerf ; en morceaux,620,885,620,Kilo,0.7
11,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,228,Ecorces ; autres,2204,2756,2204,Kilo,0.8
12,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,228,Ecorces ; de Quinquina,3193784,399223,3193784,Kilo,8
13,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,228,"Ecorces ; de citrons, d'oranges et de leurs variétés",18021,36043,18021,Kilo,0.5
14,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,174,Eponges ; communes,138560,27712,138560,Kilo,5
15,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,174,Eponges ; fines,183248,11453,183248,Kilo,16
16,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,230,Feuilles ; Autres,1047,1047,1047,Kilo,1
17,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,230,Feuilles ; d'oranger,57380,57380,57380,Kilo,1
18,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,230,Feuilles ; de Séné,91221,26063,91221,Kilo,3.5
19,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,230,Fleurs ; Autres,14984,14984,14984,Kilo,1
20,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,230,Fleurs ; de Lavande et d'oranger,281916,140958,281916,Kilo,2
21,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,234,Fruits ; Autres,36559,36559,36559,Kilo,1
22,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,232,Fruits ; Badiane ou Anis étoilé de la Chine,21894,10947,21894,Kilo,2
23,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,234,Fruits ; Barbotine,317,1056,317,Kilo,0.3
24,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,232,Fruits ; Casse sans apprêt,96351,64234,96351,Kilo,1.5
25,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,234,Fruits ; Follicules de séné,11483,4101,11483,Kilo,2.8
26,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,232,Fruits ; Graine de moutarde,25092,50185,25092,Kilo,0.5
27,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,232,Fruits ; Tamarins ; confits dans le sucre,3154,2103,3154,Kilo,1.5
28,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,232,Fruits ; Tamarins ; en gousses,5899,13110,5899,Kilo,0.45
29,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,228,Herbes ; Absinthe,1761,3522,1761,Kilo,0.5
30,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_importations.csv,Out,1827,Imports,228,Herbes ; Autres,3445,6891,3445,Kilo,0.5
