numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Amidon,Angleterre,"1000,00",Livres,,,,,1
2,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Beuf salé,Angleterre,"240,00",Livres,,,,,1
3,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Braj gras,Angleterre,"5,00",Barils,,,,,1
4,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Corinte,Angleterre,"1100,00",Livres,,,,,1
5,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Cire jaune,Angleterre,"641,00",Livres,,,,,1
6,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Cannes a mains,Angleterre,"36,00",Pièces,"1,000","36,00","0,00",,1
7,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Canons de 4 livres de bale,Angleterre,"6,00",Pièces,,,,,1
8,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Charbon de terre,Angleterre,"21500,00",Livres,,,,,1
9,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Cardages,Angleterre,"4600,00",Livres,,,,,1
10,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Fromage,Angleterre,"240,00",Livres,,,,,1
11,Anthony Rebours,AD44 C706,Local/Rennes/Rennes - Entrées - 1714.csv,Local,Janvier 1714,Imports,Rennes,1,Fer,Angleterre,"1600,00",Livres,,,,,1
