numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
1,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Bœuf ; salé,Angleterre,40470,1349,barils,30,0
2,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Beurre,Angleterre,1450,58,barils,25,0
3,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Beurre,Angleterre,60,3,frequins,20,0
4,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Charbon de terre,Angleterre,5934,1978,barils,3,0
5,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Charbon de terre,Angleterre,6200,180,Tonneaux,40,-1000 erreur calcul
6,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Charbon de terre,Angleterre,450,2000,poids,.225,0 poids de 2000 livres d'une valeur de 450
7,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Fromage,Angleterre,258,860,livres,.3,0
8,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Huille ; de poisson,Angleterre,1250,5000,livres,.25,0
9,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Laine ; filée,Angleterre,752,284,livres,3,-100
10,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Marchandises ; à l'estimation,Angleterre,1473543,1,valeur,1473543,0
11,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Morue ; seche,Angleterre,555,2220,livres,.25,0
12,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Morue ; verte,Angleterre,4000,40,barils,100,0
13,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Pipes ; a fumer,Angleterre,1,6,douzaines,.2,"-0,2"
14,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,1,Rognes ; stocfiche,Angleterre,6000,300,barils,20,0
15,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Stocfiche,Angleterre,765,3825,livres,.2,"0 Ou ""Stockfish"""
16,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Suif,Angleterre,600,5,bariques,120,0
17,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Tabac ; de Virginie ; en feuilles,Angleterre,136228,544913,livres,.25,"-0,25"
18,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Bœuf ; salé,Dannemark,8700,290,barils,30,0
19,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Bœuf ; salé,Dannemark,195,3,bariques,65,0
20,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Charbon de terre,Dannemark,11170,1117,bariques,10,0
21,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Charbon de terre,Dannemark,162,1069,jattes,.15,"1,65"
22,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Farine,Dannemark,720,4800,livres,.15,0
23,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Fer ; en barres,Dannemark,1045,9500,livres,.11,0
24,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Harangs ; blanc,Dannemark,120,2,barils,60,0
25,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Matreaux,Dannemark,3920,98,pièces,40,0
26,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Morue ; seche,Dannemark,3160,15800,livres,.2,0
27,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Morue ; verte,Dannemark,35000,350,barils,100,0
28,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Planches ; de sapin ; communes,Dannemark,42001,56012,pièces,.75,-8
29,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Rognes ; de stocfiche,Dannemark,134450,2689,barils,50,0
30,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Saumon ; salé,Dannemark,1400,14,barils,100,0
31,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Aviron,Espagne,25,17,traques,1.75,"-4,75"
32,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Chandelier ; de bois,Espagne,25,50,livres,.5,0
33,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,2,Fer ; en barres,Espagne,47661,432850,livres,.11,"47,5"
34,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Meules ; a eguiser,Espagne,69,23,pièces,3,0
35,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Reglisse,Espagne,120,300,livres,.4,0
36,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Rozeaux,Espagne,36,6,milliers,6,0
37,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Vin ; de Xires,Espagne,49500,198,pipes,250,0
38,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Acier,Hollande,336,28,barils,12,0
39,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Acier,Hollande,2600,10400,livres,.25,0
40,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Alun,Hollande,200,1000,livres,.2,0
41,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Amidon,Hollande,602,3010,livres,.2,0
42,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Ancre ; de fer,Hollande,11200,44800,livres,.25,0
43,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Azur ; commun,Hollande,1837,3675,livres,.5,"-0,5"
44,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Aviron ; de 30 pieds,Hollande,144,16,pièces,9,0
45,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Aviron ; de 18 pieds,Hollande,96,24,pièces,4,0
46,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Aviron ; de 12 pieds,Hollande,24,16,pièces,1.5,0
47,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Bajutapau,Hollande,4500,180,pièces,25,0
48,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Baleine ; coupée,Hollande,1110,185,livres,6,0
49,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Baton ; de brosses ; a gaudronner,Hollande,14,48,pièces,.3,"-0,4"
50,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Bœuf ; salé,Hollande,1500,50,barils,30,0
51,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Bœuf ; salé,Hollande,24951,124756,livres,.2,"-0,2"
52,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Beure,Hollande,17,70,livres,.25,"-0,5"
53,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Bierre,Hollande,4998,207,bariques,24,30 erreur calcul
54,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Biscuit ; de mer,Hollande,15,100,livres,.15,0
55,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,3,Bois ; a bruler,Hollande,10,1,corde,10,0
56,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Bois ; de campeche,Hollande,1340,6700,livres,.2,0
57,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Bois ; de construction,Hollande,5740,574,pièces,10,0
58,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Bois ; a fourreaux d'épée,Hollande,10,20,livres,.5,0
59,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Bois ; de gayac,Hollande,5480,54800,livres,.1,0
60,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Bois ; a teinture,Hollande,14745,49150,livres,.3,0
61,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Borax ; rafiné,Hollande,76,38,livres,2,0
62,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Boulets ; de canon,Hollande,750,1000,pièces,.75,0
63,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Boutons ; de cocos,Hollande,660,330,livres,2,0
64,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Bourdillons,Hollande,32,210,pièces,.15,"0,5"
65,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Brancards ; de fer,Hollande,100,4,pièces,25,0
66,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Bray ; gras,Hollande,676,26,barils,26,0
67,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Brosse,Hollande,17,48,pièces,.35,"0,2"
68,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Brosse,Hollande,26,26,livres,1,0
69,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Canette,Hollande,2502,417,livres,6,0
70,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Canette ; de terre,Hollande,70,140,pièces,.5,0
71,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Caniques,Hollande,10,2000,pièces,.005,0
72,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Cartes;  marine,Hollande,160,16,pièces,10,0
73,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Caves ; garnies,Hollande,36,2,pièces,18,0
74,Pascal Fontaine,AD 44 C706,Local/Rennes/Rennes - Entrées - 1747-1780 (-).csv,Local,1747,Import,Rennes,4,Caves ; garnies,Hollande,600,100,pièces,6,0
