numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée,probleme,remarks
1,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,affuts de canon,Rennes,d'Angleterre,"68,00",pièces,"15,00000",,,,,"1 020,00",,
2,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,anchois,Rennes,d'Angleterre,"10,00",barils,"1,20000",,,,,"12,00",,
3,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,ancres de fer,Rennes,d'Angleterre,"10,00",en nombre,"100,00000",,,,,"1 000,00",,
4,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,barils vides,Rennes,d'Angleterre,"20,00",en nombre,"0,50000",,,,,"10,00",,
5,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,bœuf sallé,Rennes,d'Angleterre,"2 289,00",barils,"25,00000",,,,,"57 225,00",,
6,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,bœuf sallé,Rennes,d'Angleterre,"953,00",tierçons,"36,00000",,,,,"34 308,00",,
7,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,beurre sallé,Rennes,d'Angleterre,"700,00",frequins,"20,00000",,,,,"14 000,00",,
8,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,beurre sallé,Rennes,d'Angleterre,"30 825,00",Livres,"0,25000",,,,,"7 706,25",,Quantités difficilement lisibles
9,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,blé froment,Rennes,d'Angleterre,"1 341,00",boisseaux,"15,00000",,,,,"20 115,00",,
10,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,blé froment,Rennes,d'Angleterre,"150,00",tonneaux,"20,00000",,,,,"3 000,00",,
11,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,boulets de canons,Rennes,d'Angleterre,"30,00",tonneaux,"37,50000",,,,,"1 125,00",,"J'ai pris les prix de 1750. ""15 sous pièce"" mais combien de boulets par tonneaux ?"
12,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,1,1749,bourre de bœuf,Rennes,d'Angleterre,"106,00",Livres,"0,05000",,,,,"5,30",,
