numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Amidon,Dannemark,30,livre,"0,2",6,0,
2,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Bazin,Dannemark,1,pièce,30,30,0,
3,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Chataigne,Dannemark,24,boisseaux,"0,5",12,0,
4,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Coutis,Dannemark,24,aunes,3,72,0,
5,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Couvertures de laine,Dannemark,4,en nombre,12,48,0,
6,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Drogues de soye,Dannemark,"4,5",aunes,10,45,0,
7,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Graine,Dannemark,429,livres,"0,5",214,"-0,5",
8,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Guildive,Dannemark,8215,veltes,4,32860,0,doute sur la marchandise
9,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Linge de table,Dannemark,,,0,100,100,
10,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Miel,Dannemark,3075,livres,"0,1",307,"-0,5",
11,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Marchandises melées,Dannemark,,,0,1935,1935,
12,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Mousseline,Dannemark,30,aunes,10,300,0,
13,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Papier batard fin,Dannemark,85,rames,6,510,0,
14,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Savon,Dannemark,325,livres,"0,45",146,"-0,25",
15,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Sel,Dannemark,"5,5",tonneaux,20,110,0,
16,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Souliers d'enfants,Dannemark,18,paires,"1,2",22,"0,4",
17,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Souliers de femmes,Dannemark,58,paires,"2,5",145,0,
18,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Souliers d'hommes,Dannemark,87,paires,3,261,0,
19,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Thé,Dannemark,5244,livres,4,20976,0,
20,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile anglaise,Dannemark,28,aunes,1,28,0,
21,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile baptiste,Dannemark,2,pièce,60,120,0,
22,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile blanche,Dannemark,"702,5",aunes,"1,5",1054,"0,25",
23,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile blanchie,Dannemark,11242,aunes,1,11242,0,
24,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de bretagne diverses étroites,Dannemark,503,pièces,"6,5",3269,"-0,5",
25,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de bretagne diverses larges,Dannemark,172,pièces,12,2064,0,
26,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de bretagne diverses cerue,Dannemark,15769,aunes,1,15769,0,
27,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toiles de Bretagne diverses de halle,Dannemark,18286,aunes,"0,75",13714,"-0,5",
28,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile cirée,Dannemark,80,pièces,"4,5",360,0,
29,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile cirée,Dannemark,560,aunes,1,560,0,
30,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile de cotton,Dannemark,"229,75",aunes,2,459,"-0,5",
