numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,boeuf salé,Rennes,d'Angleterre,"160 260,00",livres,"0,25000",0,-40065,
2,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,beurre,Rennes,d'Angleterre,"6 800,00",livres,"0,55000",0,-3740,
3,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,bois merrain,Rennes,d'Angleterre,"9 340,00",douelles,"0,07500",0,"-700,5",
4,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,charbon de terre,Rennes,d'Angleterre,"238,00",tonneaux,"30,00000",0,-7140,
5,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,cire jaune,Rennes,d'Angleterre,"268,00",livres,"1,50000",0,-402,
6,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,fromage,Rennes,d'Angleterre,"360,00",livres,"0,30000",0,-108,
7,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,jambons,Rennes,d'Angleterre,"3 000,00",livres,"0,60000",0,-1800,
8,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,langues salées,Rennes,d'Angleterre,"4 656,00",livres,"0,75000",0,-3492,
9,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,lard,Rennes,d'Angleterre,"4 090,00",livres,"0,35000",0,"-1431,5",
10,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,plomb en saumon,Rennes,d'Angleterre,"13 010,00",livres,"0,25000",0,"-3252,5",
11,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,poil de boeuf,Rennes,d'Angleterre,"21 750,00",livres,"0,05000",0,"-1087,5",
12,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,porc salé,Rennes,d'Angleterre,"7 210,00",livres,"0,35000",0,"-2523,5",
13,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,riz,Rennes,d'Angleterre,"80 000,00",livres,"0,25000",0,-20000,
14,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,saucisses,Rennes,d'Angleterre,"375,00",livres,"0,35000",0,"-131,25",marchandise non identifiée
15,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,saumurre,Rennes,d'Angleterre,"3 000,00",livres,"0,02500",0,-75,
16,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,1,1772,tabac en feuille,Rennes,d'Angleterre,"5 294 262,00",livres,"0,30000",0,"-1588278,6",
17,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,bled froment,Rennes,de Danemark,"2 800,00",boisseaux,"1,30000",0,-3640,
18,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,bois épars de 16 à 36 pieds,Rennes,de Danemark,"256,00",en nombre,"0,75000",0,-192,
19,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,bray et gaudron,Rennes,de Danemark,"470,00",barils,"17,00000",0,-7990,
20,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,fer en barres,Rennes,de Danemark,"7 300,00",livres,"0,17500",0,"-1277,5",
21,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,fer plat,Rennes,de Danemark,"1 300,00",livres,"0,17500",0,"-227,5",
22,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,gaules,Rennes,de Danemark,"288,00",en nombre,"0,75000",0,-216,
23,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,planches ordinaires,Rennes,de Danemark,"25 008,00",en nombre,"0,50000",0,-12504,
24,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,planches de 3 à 12 pieds,Rennes,de Danemark,"1 350,00",en nombre,"0,50000",0,-675,
25,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,poutres de 16 et 28 pieds,Rennes,de Danemark,"24,00",en nombre,"20,00000",0,-480,
26,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,rogues de stocfiche,Rennes,de Danemark,"2 587,00",barils,"35,00000",0,-90545,
27,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,avirons,Rennes,d'Espagne,"149,00",traques,"6,00000",0,-894,
28,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,chocolat,Rennes,d'Espagne,"90,00",livres,"1,50000",0,-135,pas d'unité de quantité
29,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,cidre,Rennes,d'Espagne,"37,00",bariques,"24,00000",0,-888,
30,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,citrons et oranges,Rennes,d'Espagne,"72,50",milliers,"10,00000",0,-725,
31,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,eau de vie,Rennes,d'Espagne,"75,00",bottes,"200,00000",0,-15000,
32,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,eau de vie,Rennes,d'Espagne,"722,50",barriques,"150,00000",0,-108375,
33,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,fer en barres,Rennes,d'Espagne,"558 375,00",livres,"0,17500",0,"-97715,63",
34,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,fer en plaques,Rennes,d'Espagne,"1 000,00",livres,"0,10000",0,-100,
35,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,figues,Rennes,d'Espagne,"40 200,00",livres,"0,15000",0,-6030,
36,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,fruit cru,Rennes,d'Espagne,,,"0,00000",1200,1200,valeur de 1200 L cy
37,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,fruit sec,Rennes,d'Espagne,"171 600,00",livres,"0,30000",0,-51480,
38,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,fruit sec,Rennes,d'Espagne,,,"0,00000",1600,1600,valeur de 1600 L cy
39,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,jambons,Rennes,d'Espagne,"582,00",livres,"0,60000",0,"-349,2",
40,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,laine brute,Rennes,d'Espagne,"8 297,00",livres,"1,50000",0,"-12445,5",
41,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,marchandises mêlées,Rennes,d'Espagne,,,"0,00000",221,221,valeur de 221 L cy
42,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,meules à taillandier,Rennes,d'Espagne,"171,00",en nombre,"5,00000",0,-855,
43,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,2,1772,poisson salé,Rennes,d'Espagne,"1 620,00",livres,"0,25000",0,-405,
44,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,raisins secs,Rennes,d'Espagne,"236 640,00",livres,"0,20000",0,-47328,
45,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,reglisse,Rennes,d'Espagne,"220,00",livres,"0,10000",0,-22,
46,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,rozeaux,Rennes,d'Espagne,"13 500,00",en nombre,"0,01200",0,-162,12 L le mil
47,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,vin d'Espagne,Rennes,d'Espagne,"30,00",bottes,"110,00000",0,-3300,
48,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,vin d'Espagne,Rennes,d'Espagne,"295,00",barriques,"75,00000",0,-22125,
49,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,vin d'Espagne,Rennes,d'Espagne,"9 480,00",pots,"1,50000",0,-14220,
50,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,vin de Madere,Rennes,d'Espagne,"502,00",pots,"1,50000",0,-753,
51,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,vin de Malaga,Rennes,d'Espagne,"2 664,00",pots,"1,50000",0,-3996,
52,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,acier,Rennes,d'Hollande,"86,00",barils,"30,00000",0,-2580,
53,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,acier,Rennes,d'Hollande,"3 982,00",livres,"0,30000",0,"-1194,6",
54,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1772.csv,Local,Imports,3,1772,armes blanches sabres,Rennes,d'Hollande,"694,00",en nombre,"1,50000",0,-1041,
