numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,
1,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Beure de Bretagne,Rennes,Angleterre," 400,00    ",Livres,"0,000","0,00","0,00","0,00",
2,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Barils vides,Rennes,Angleterre," 230,00    ",Barils,"0,000","0,00","0,00","0,00",
3,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Chataigne,Rennes,Angleterre," 500,00    ",Livres,"0,000","0,00","0,00","0,00",
4,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Cuivre ouvré,Rennes,Angleterre," 100,00    ",Livres,"0,000","0,00","0,00","0,00",
5,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Eau de vie,Rennes,Angleterre," 2,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
6,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Grelin ,Rennes,Angleterre," 1,00    ",Nombres,"0,000","0,00","0,00","0,00",
7,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Huitres a la daube,Rennes,Angleterre," 100,00    ",Barils,"0,000","0,00","0,00","0,00",
8,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Miel,Rennes,Angleterre," 1 900,00    ",Livres,"0,000","0,00","0,00","0,00",
9,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,1,1714,Merceries,Rennes,Angleterre," 30,00    ",Livres,"0,000","0,00","0,00","0,00",
10,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Plumes a lit,Rennes,Angleterre," 100,00    ",Livres,"0,000","0,00","0,00","0,00",
11,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Raisin,Rennes,Angleterre," 1 350,00    ",Livres,"0,000","0,00","0,00","0,00",
12,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Sel,Rennes,Angleterre," 10,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
13,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Savon,Rennes,Angleterre," 1 315,00    ",Livres,"0,000","0,00","0,00","0,00",
14,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Tabac,Rennes,Angleterre," 4 920,00    ",Livres,"0,000","0,00","0,00","0,00",
15,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles de halle,Rennes,Angleterre," 4 750,00    ",Aunes,"0,000","0,00","0,00","0,00",
16,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles de pontivi,Rennes,Angleterre," 100,00    ",Aunes,"0,000","0,00","0,00","0,00",
17,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles de leon,Rennes,Angleterre," 11 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
18,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Toiles a voile,Rennes,Angleterre," 600,00    ",Aunes,"0,000","0,00","0,00","0,00",
19,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Vin d'Espagne,Rennes,Angleterre," 1,50    ",Bariques,"0,000","0,00","0,00","0,00",
20,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,2,1714,Vin,Rennes,Angleterre," 11,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
