numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,boeuf salé,Rennes,d'Angleterre,"1 695,00",barils,"36,00000",,,
2,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,boeuf salé,Rennes,d'Angleterre,"378,00",tiercons,"50,00000",,,
3,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,beure,Rennes,d'Angleterre,"93 030,00",livres,"0,35000",,,
4,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,crin,Rennes,d'Angleterre,"1 719,00",livres,"0,60000",,,
5,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,cuirs de boeuf en poil,Rennes,d'Angleterre,"1 257,00",en nombre,"6,00000",,,
6,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,huille de poisson,Rennes,d'Angleterre,"392,00",livres,"0,25000",,,
7,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,laine,Rennes,d'Angleterre,"4 235,00",livres,"1,25000",,,
8,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,lard,Rennes,d'Angleterre,"50,00",barils,"35,00000",,,
9,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,saumon salé,Rennes,d'Angleterre,"75,00",tiercons,"35,00000",,,
10,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,soude,Rennes,d'Angleterre,"50 000,00",livres,"0,25000",,,
11,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,suif,Rennes,d'Angleterre,"9 950,00",en nombre,"0,35000",,,
12,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,bois merrain à pipes,Rennes,de Danemark,"1 000,00",douëlles,"0,44000",,,44 L %
13,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,cabillaud,Rennes,de Danemark,"282 962,00",livres,"0,20000",,,
14,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,charbon de terre,Rennes,de Danemark,"183,00",bariques,"10,00000",,,
15,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,clous de fer,Rennes,de Danemark,"720,00",livres,"0,30000",,,
16,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,11,1757,fer en bottes,Rennes,de Danemark,"4 500,00",livres,"0,30000",,,
17,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,huile de poisson,Rennes,de Danemark,"3 339,00",livres,"0,25000",,,
18,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,planches de sapin de 9 à 10 pieds,Rennes,de Danemark,"11 088,00",en nombre,"1,00000",,,
19,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,rogues de morues,Rennes,de Danemark,"101,00",barils,"22,00000",,,
20,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,stockfish,Rennes,de Danemark,"3 381,00",livres,"0,20000",,,
21,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,ancres de fer,Rennes,d'Espagne,"5 600,00",livres,"0,20000",,,5 S : 4 S
22,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,avirons,Rennes,d'Espagne,"425,00",traques,"3,00000",,,À 3 L pièces
23,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,balays de bruyères,Rennes,d'Espagne,"520,00",douzaines,"0,40000",,,
24,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,bois de campeche,Rennes,d'Espagne,"2 850,00",livres,"0,15000",,,
25,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Entrées – 1757 – bis.csv,Local,Imports,12,1757,bray gras,Rennes,d'Espagne,"353,00",barils,"22,00000",,,
