numerodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,barils vides,Rennes,d'Angleterre,1 000,en nombre,"0,75000",,,15 à 20 sous
2,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,boeuf salé,Rennes,d'Angleterre,1 727,barils,"25,00000",,,
3,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,boeuf salé,Rennes,d'Angleterre,200,tierçons,"1,25000",,,
4,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,beurre salé,Rennes,d'Angleterre,3 060,Livres,"0,25000",,,
5,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,blé froment,Rennes,d'Angleterre,26 728,boisseaux,"5,00000",,,
6,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,blé froment,Rennes,d'Angleterre,1 939,tierçons,"13,00000",,,
7,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,blé froment,Rennes,d'Angleterre,1 750,sacs,"13,00000",,,
8,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,blé froment,Rennes,d'Angleterre,100,tonneaux,"120,00000",,,
9,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,blé froment,Rennes,d'Angleterre,112 900,Livres,,,,à proportion
10,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,blé seigle,Rennes,d'Angleterre,762,quartiers,"16,00000",,,
11,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,blé seigle,Rennes,d'Angleterre,10,sacs,"8,00000",,,
12,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,boulets de canon,Rennes,d'Angleterre,10 076,en nombre,,,,Savoir desquelle grosseur en poids à 4 S la livre ... 
13,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,canons de fer,Rennes,d'Angleterre,318,en nombre,"200,00000",,,
14,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,chandelle,Rennes,d'Angleterre,15 024,Livres,"0,45000",,,
15,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,charbon de terre,Rennes,d'Angleterre,994,bariques,"10,00000",,,
16,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,1,1752,charbon de terre,Rennes,d'Angleterre,1 096,barils,"6,00000",,,
17,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,charbon de terre,Rennes,d'Angleterre,1 840,juttes,"10,00000",,,
18,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,charbon de terre,Rennes,d'Angleterre,1 401,tonneaux,"40,00000",,,
19,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,cloux de fer,Rennes,d'Angleterre,207,barils,"25,00000",,,
20,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,cordages,Rennes,d'Angleterre,314 400,Livres,"0,40000",,,
21,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,cuirs de boeuf en poil,Rennes,d'Angleterre,1 830,cuirs,"21,00000",,,
22,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,cuirs de vache en poil,Rennes,d'Angleterre,65,cuirs,"16,00000",,,
23,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,étain ouvré,Rennes,d'Angleterre,457,Livres,"1,50000",,,
24,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,farine,Rennes,d'Angleterre,1 477,barils,"12,00000",,,
25,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,farine,Rennes,d'Angleterre,480,boisseaux,"0,80000",,,
26,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,farine,Rennes,d'Angleterre,8 008,sacs,"15,00000",,,
27,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,farine,Rennes,d'Angleterre,81 100,Livres,"0,20000",,,
28,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,instruments mathématiques,Rennes,d'Angleterre,3,caisses,,,,3 caisses ces arts en trop vague
29,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,laine filée,Rennes,d'Angleterre,663,Livres,"3,50000",,,
30,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,laine non filée,Rennes,d'Angleterre,800,Livres,"2,25000",,,
31,Loïc,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,langues sallées,Rennes,d'Angleterre,8,barils,"30,00000",,,
32,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,lard,Rennes,d'Angleterre,3,barils,"36,00000",,,
33,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,orge,Rennes,d'Angleterre,5 667,boisseaux,"0,50000",,,
34,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,orge,Rennes,d'Angleterre,3 127,quartiers,,,,à proportion
35,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,paumelle,Rennes,d'Angleterre,9 707,boisseaux,"8,00000",,,
36,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,2,1752,planches de sapin,Rennes,d'Angleterre,100,pièces,"1,00000",,,
