numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,acier,Rennes,pour l'Angleterre,"1,00",baril,"25,00000",0,-25,
2,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,alun,Rennes,pour l'Angleterre,"100,00",livres,"0,20000",0,-20,
3,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,amandes,Rennes,pour l'Angleterre,"4,00",balles,"20,00000",0,-80,
4,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,amandes,Rennes,pour l'Angleterre,"3,00",emines,"0,00000",0,0,absence de prix
5,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,amandes,Rennes,pour l'Angleterre,"418,00",milliers,"2,00000",0,-836,
6,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,amidon,Rennes,pour l'Angleterre,"4 830,00",livres,"0,20000",0,-966,
7,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,armoire,Rennes,pour l'Angleterre,"1,00",en nombre,"80,00000",0,-80,
8,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,assiettes de porcelaine,Rennes,pour l'Angleterre,"46,00",douzaines,"12,00000",0,-552,
9,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,beure,Rennes,pour l'Angleterre,"4 610,00",livres,"0,40000",0,-1844,
10,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,bray gras,Rennes,pour l'Angleterre,"7,00",barils,"22,00000",0,-154,
11,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,caffé,Rennes,pour l'Angleterre,"1 484,00",livres,"0,75000",0,-1113,
12,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,chaises de pailles,Rennes,pour l'Angleterre,"762,00",en nombre,"1,00000",0,-762,
13,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,chandelle,Rennes,pour l'Angleterre,"11 372,00",livres,"0,40000",0,"-4548,8",prix incertain
14,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,cordages,Rennes,pour l'Angleterre,"50,00",livres,"0,28000",0,-14,
15,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,cottonade,Rennes,pour l'Angleterre,"765,00",aunes,"1,50000",0,"-1147,5",
16,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,couty,Rennes,pour l'Angleterre,"2,00",pièces,"35,00000",0,-70,
17,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,1,1751,couty,Rennes,pour l'Angleterre,"150,00",aunes,"2,25000",0,"-337,5",
18,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,cuirs de vache corroyés,Rennes,pour l'Angleterre,"25,00",en nombre,"14,00000",0,-350,
19,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,cuirs de vache en poil,Rennes,pour l'Angleterre,"20,00",en nombre,"10,00000",0,-200,
20,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,cuirs tanné,Rennes,pour l'Angleterre,"800,00",livres,"0,45000",0,-360,
21,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,cuirs verts,Rennes,pour l'Angleterre,"33,00",en nombre,"20,00000",0,-660,
22,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,cuirs verts,Rennes,pour l'Angleterre,"44,00",en nombre,"6,00000",0,-264,
23,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,eau de vie,Rennes,pour l'Angleterre,"11 372,00",veltes,"4,00000",0,-45488,prix incertain
24,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,epicerie,Rennes,pour l'Angleterre,"50,00",livres,"2,00000",0,-100,
25,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,figues,Rennes,pour l'Angleterre,"1 930,00",livres,"0,20000",0,-386,20 L %
26,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,filain,Rennes,pour l'Angleterre,"13 050,00",livres,"0,25000",0,"-3262,5",
27,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,fruits crus,Rennes,pour l'Angleterre,"3,00",boisseaux,"7,00000",0,-21,
28,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,fruits verts,Rennes,pour l'Angleterre,"51,00",paniers,"3,00000",0,-153,
29,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,fruits verts,Rennes,pour l'Angleterre,,,"0,00000",49,49,valeur de 49 L
30,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,fruis secs,Rennes,pour l'Angleterre,"13 362,00",livres,"0,15000",0,"-2004,3",15 L %
31,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,graisse,Rennes,pour l'Angleterre,"4 300,00",livres,"0,30000",0,-1290,
32,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,huille d'olive,Rennes,pour l'Angleterre,"8,00",bariques,"300,00000",0,-2400,
33,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,huille d'olive,Rennes,pour l'Angleterre,"475,00",pots,"1,50000",0,"-712,5",
34,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,huitres à la daube,Rennes,pour l'Angleterre,"6,00",barils,"20,00000",0,-120,
35,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,indigo,Rennes,pour l'Angleterre,"10,00",livres,"3,75000",0,"-37,5",
36,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,mercerie,Rennes,pour l'Angleterre,,,"0,00000",400,400,valeur de 400 L
37,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,meubles vieux,Rennes,pour l'Angleterre,,,"0,00000",297,297,valeur de 297 L
38,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,mil,Rennes,pour l'Angleterre,"46 800,00",livres,"0,10000",0,-4680,
39,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,mouchoirs de Rouen,Rennes,pour l'Angleterre,"1 500,00",en nombre,"1,00000",0,-1500,
40,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,papier,Rennes,pour l'Angleterre,"40,00",rames,"6,00000",0,-240,
41,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,papier,Rennes,pour l'Angleterre,"322,00",rames,"2,00000",0,-644,
42,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,peaux de veaux aprestées,Rennes,pour l'Angleterre,"1,00",douzaine,"15,60000",0,"-15,6",1 douz à 26 S pièce
43,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,plume à lit,Rennes,pour l'Angleterre,,,"0,00000",60,60,valeur de 60 L
44,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,poil de boeuf,Rennes,pour l'Angleterre,"15,00",livres,"10,00000",0,-150,
45,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,poivre,Rennes,pour l'Angleterre,"110,00",livres,"1,20000",0,-132,
46,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,poudre à poudrer,Rennes,pour l'Angleterre,"100,00",livres,"0,30000",0,-30,
47,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,2,1751,pruneaux,Rennes,pour l'Angleterre,"2 500,00",livres,"0,10000",0,-250,
48,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,3,1751,raisins secs,Rennes,pour l'Angleterre,"24,00",barils,"1,00000",0,-24,
49,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,3,1751,raisins secs,Rennes,pour l'Angleterre,"4 870,00",livres,"0,15000",0,"-730,5",
50,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,3,1751,raisine,Rennes,pour l'Angleterre,"5 500,00",livres,"0,06000",0,-330,6 L %
51,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,3,1751,sabots,Rennes,pour l'Angleterre,"10,00",douzaines,"3,00000",0,-30,
52,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,3,1751,savon,Rennes,pour l'Angleterre,"435,00",caisses,"90,00000",0,-39150,
53,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1751.csv,Local,Exports,3,1751,savon,Rennes,pour l'Angleterre,"489,00",livres,"0,45000",0,"-220,05",
