numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de soye,Rennes,pour le Danemark,4,paires,12,0,-48,
2,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,beure,Rennes,pour le Danemark,9844,livres,"0,35",0,"-3445,4",
3,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,cotonade,Rennes,pour le Danemark,30,aunes,2,0,-60,
4,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,taffia,Rennes,pour le Danemark,30,veltes,2,0,-60,
5,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,toile de Leon,Rennes,pour le Danemark,1150,aunes,"1,25",0,"-1437,5",
6,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,vin,Rennes,pour le Danemark,1,barique,70,0,-70,
7,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de coton,Rennes,pour l'Espagne,146,paires,3,0,-438,
8,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de fil,Rennes,pour l'Espagne,351,paires,2,0,-702,
9,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de laine,Rennes,pour l'Espagne,109,paires,3,0,-327,
10,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de soye,Rennes,pour l'Espagne,18,paires,12,0,-216,
11,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,Bazin ; pièce de 40 aunes,Rennes,pour l'Espagne,128,pièces,2,0,-256,
12,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,beure,Rennes,pour l'Espagne,13249,livres,"0,35",0,"-4637,15",
13,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,bois d'acajou,Rennes,pour l'Espagne,72,pieds,1,0,-72,
14,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,bougran,Rennes,pour l'Espagne,10,pièces,12,0,-120,
15,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chandelle,Rennes,pour l'Espagne,6031,livres,"0,4",0,"-2412,4",
16,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,callemande,Rennes,pour l'Espagne,310,aunes,2,0,-620,
17,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux brodés d'or,Rennes,pour l'Espagne,12,en nombre,36,0,-432,
18,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux castor,Rennes,pour l'Espagne,1068,en nombre,16,0,-17088,
19,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux mi castor,Rennes,pour l'Espagne,65,en nombre,9,0,-585,
20,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux de femme,Rennes,pour l'Espagne,6,en nombre,3,0,-18,
21,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux fins,Rennes,pour l'Espagne,260,en nombre,16,0,-4160,
22,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux de satin,Rennes,pour l'Espagne,3,en nombre,6,0,-18,
23,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chaussettes de fil,Rennes,pour l'Espagne,322,douzaines,18,0,-5796,
24,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chemises bretonnes,Rennes,pour l'Espagne,2950,en nombre,4,0,-11800,nombre incertain
25,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chemises de toile de Laval garnies,Rennes,pour l'Espagne,320,en nombre,"7,5",0,-2400,
26,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chemises unies,Rennes,pour l'Espagne,2353,en nombre,4,0,-9412,
27,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,courtes pointes,Rennes,pour l'Espagne,4,en nombre,30,0,-120,
28,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,coutil chiné,Rennes,pour l'Espagne,237,aunes,2,0,-474,
29,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,couvertures pour cheval,Rennes,pour l'Espagne,60,en nombre,6,0,-360,
30,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,couvertures de gros bazin,Rennes,pour l'Espagne,57,en nombre,"7,5",0,"-427,5",
31,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,couvertures de laine,Rennes,pour l'Espagne,40,en nombre,24,0,-960,
32,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,couvertures de laine,Rennes,pour l'Espagne,,,0,241,241,valeur de 241 L cy
33,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,cuirs de boeuf tanées,Rennes,pour l'Espagne,12924,en nombre,20,0,-258480,
34,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,cuirs de genisse coroyés ,Rennes,pour l'Espagne,3862,en nombre,8,0,-30896,
35,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,cuivre ouvré,Rennes,pour l'Espagne,264,livres,"1,6",0,"-422,4",
36,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,culottes de laine tricottées,Rennes,pour l'Espagne,22,en nombre,8,0,-176,
37,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,drap des prises,Rennes,pour l'Espagne,86,aunes,10,0,-860,
38,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,drap des prises,Rennes,pour l'Espagne,,,0,522,522,valeur de 522 L cy
39,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,drap ecarlatte des prises,Rennes,pour l'Espagne,13,aunes,20,0,-260,
40,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,etame,Rennes,pour l'Espagne,596,pièces,30,0,-17880,
41,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,etamines,Rennes,pour l'Espagne,83,aunes,2,0,-166,
42,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,etamines,Rennes,pour l'Espagne,,,0,2750,2750,valeur de 2750 L cy
43,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,fer en marmittes,Rennes,pour l'Espagne,9050,livres,"0,15",0,"-1357,5",
44,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,fil blanc,Rennes,pour l'Espagne,154,livres,3,0,-462,
45,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,fil de Rennes,Rennes,pour l'Espagne,400,livres,3,0,-1200,
46,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,flanelle,Rennes,pour l'Espagne,1783,aunes,"1,25",0,"-2228,75",
47,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,fusils,Rennes,pour l'Espagne,19,en nombre,10,0,-190,
48,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,gans de peaux,Rennes,pour l'Espagne,180,paires,"0,5",0,-90,
49,Cyril CANET,AD44 C716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,3,1761,graisse,Rennes,pour l'Espagne,11582,livres,"0,3",0,"-3474,6",
