numrodeligne,source,sourcepath,sourcetype,year,exportsimports,direction,marchandises,pays,quantity_unit,prix_unitaire,probleme,remarks,quantit,value
1,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Angleterre,Livres,,,,9360,0
2,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Afut de canon,Angleterre,Nombres,,,,18,0
3,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amidon,Angleterre,Livres,,,,3100,0
4,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ancre de fer,Angleterre,Livres,,,,8700,0
5,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Armoire de bois,Angleterre,Nombres,,,,1,0
6,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avoine,Angleterre,Boisseaux,,,,538,0
7,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avoine,Angleterre,Tonneaux,,,,3,0
8,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Beuf salé,Angleterre,Barils,,,,162,0
9,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Beuf salé,Angleterre,Livres,,,,246460,0
10,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Beuf salé,Angleterre,Livres,"0,2",0,,1200,240
11,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Beure,Angleterre,Livres,,,,96765,0
12,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Beure,Angleterre,Livres,"0,25",0,,3575,893.75
13,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Beure,Angleterre,Livres,"0,3",0,,100,30
14,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé froment,Angleterre,Boisseaux,,,,279,0
15,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé froment,Angleterre,Muids,,,,7,0
16,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé froment,Angleterre,Muids,,,Mesures de Paris,31,0
17,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé froment,Angleterre,Septier,,,,1,0
18,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé froment,Angleterre,Septiers,,,Mesures de Paris,11,0
19,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé froment,Angleterre,Tonneaux,,,,20,0
20,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé seigle,Angleterre,Quartiers,,,,75,0
21,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Bois de campeche,Angleterre,Livres,,,,35000,0
22,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Bouchons de liége,Angleterre,Livres,,,,6,0
23,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Brai gras,Angleterre,Barils,,,,10,0
24,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Braj gras,Angleterre,Barils,,,,24,0
25,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cabestan,Angleterre,Nombres,,,,2,0
26,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cables,Angleterre,Livres,,,,1000,0
27,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cables neuf,Angleterre,Livres,,,,1400,0
28,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cables neuf,Angleterre,Nombres,,,,4,0
29,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cannes a main,Angleterre,Douzaines,,,,9,0
30,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cannes a mains,Angleterre,Pièces,1,0,,36,36
31,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canon de fer,Angleterre,Nombres,,,,8,0
32,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de 4 livres de bale,Angleterre,Pièces,,,,6,0
33,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de fer,Angleterre,Pièces,,,,44,0
34,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de fer de 2 livres de calibre,Angleterre,Nombres,,,,2,0
35,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de fer de 4 livres de bale,Angleterre,Nombres,,,,9,0
36,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Canons de fer de 4 livres de calibre,Angleterre,Nombres,,,,16,0
37,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cardages,Angleterre,Livres,,,,4600,0
38,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chaise garnie de cannes,Angleterre,Nombres,,,,24,0
39,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chaises de paille,Angleterre,Douzaines,,,,2,0
40,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chandelles,Angleterre,Livres,,,,2149,0
41,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chandelles de suif,Angleterre,Livres,,,,1200,0
42,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chanvre,Angleterre,Livres,,,,4500,0
43,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Charbon de terre,Angleterre,Livres,,,,1747675,0
44,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chaux,Angleterre,Bariques,,,,19,0
45,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cheval,Angleterre,Nombres,,,,1,150
46,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cire jaune,Angleterre,Livres,,,,3161,0
47,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cordage,Angleterre,Livres,,,,15308,0
48,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cordages neuf,Angleterre,Livres,,,,3144,0
49,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cordages vieux,Angleterre,Livres,,,,2000,0
50,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Corinte,Angleterre,Livres,,,,1100,0
51,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Corne a lanterne,Angleterre,Livres,,,,30,0
52,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Corne de beuf,Angleterre,Livres,,,,105,0
53,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cornes rondes,Angleterre,Bouts,,,,800,0
54,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Couperose,Angleterre,Livres,,,,8940,0
55,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Crin,Angleterre,Livres,,,,140,0
56,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir vert,Angleterre,Nombres,24,,,705,0
57,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir vert en poil,Angleterre,Livres,,,,815,0
