numrodeligne,sourcepath,exportsimports,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,marchandises_simplification,year,u_conv,q_conv,marchandises_et_quantités,prix_predit,prix_calculé
666,National/Divers - in/Détail des I et X_1792.csv,Exports,42,d'Anjou et Touraine,Europe,15661.95,muids,,??? d'Anjou et de Touraine,1792,,,??? d'Anjou et de Tourainemuids,,
665,National/Divers - in/Détail des I et X_1792.csv,Exports,42,Des ci-devant Provinces d'Alsace,Europe,31004.63,muids,,??? des ci-devant provinces d'Alsace,1792,,,??? des ci-devant provinces d'Alsacemuids,,
1728,National/Divers - in/Résultats du CE 1792.csv,Exports,117,Desci-devant Provinces ; de Bourgogne,Etats Unis,224,muids,,??? des ci-devant provinces de Bourgogne,1792,,,??? des ci-devant provinces de Bourgognemuids,,
1730,National/Divers - in/Résultats du CE 1792.csv,Exports,117,Desci-devant Provinces ; de Provence,Etats Unis,5172,muids,,??? des ci-devant provinces de Provence,1792,,,??? des ci-devant provinces de Provencemuids,,
1731,National/Divers - in/Résultats du CE 1792.csv,Exports,117,Desci-devant Provinces ; de Provence,Etats Unis,216,pintes,,??? des ci-devant provinces de Provence,1792,litres,.952146,??? des ci-devant provinces de Provencepintes,,
1729,National/Divers - in/Résultats du CE 1792.csv,Exports,117,Desci-devant Provinces ; de Languedoc,Etats Unis,353,muids,,??? des ci-devant provinces du Languedoc,1792,,,??? des ci-devant provinces du Languedocmuids,,
248,National/Divers - in/Détail des I et X_1792.csv,Exports,28,Fers divers et Acier,Europe,14368967,livres,,acier et fer,1792,kg,.48949999,acier et ferlivres,,
212,National/Divers - in/Détail des I et X_1792.csv,Imports,27,Fers divers et Acier,Europe,12099709,livres,,acier et fer,1792,kg,.48949999,acier et ferlivres,,
99,National/Divers - in/Résultats du CE 1792.csv,Exports,42,Fer et acier,Espagne,8371.379999999999,quintaux,,acier et fer,1792,kg,48.949999,acier et ferquintaux,,
1152,National/Divers - in/Résultats du CE 1792.csv,Imports,90,Fers divers et aciers,Allemagne et Pologne,2151.34,quintaux,,acier et fer,1792,kg,48.949999,acier et ferquintaux,,
738,National/Divers - in/Résultats du CE 1792.csv,Imports,74,Fers et aciers,Angleterre y compris l'Ecosse et l'Irlande,11610.8,quintaux,,acier et fer,1792,kg,48.949999,acier et ferquintaux,,
852,National/Divers - in/Résultats du CE 1792.csv,Imports,77,Fer et acier,République de Hollande,3270.7,quintaux,,acier et fer,1792,kg,48.949999,acier et ferquintaux,,
440,National/Divers - in/Résultats du CE 1792.csv,Imports,59,Fers divers et acier,Milanez et Toscane,1827.2,quintaux,,acier et fer,1792,kg,48.949999,acier et ferquintaux,,
1452,National/Divers - in/Résultats du CE 1792.csv,Imports,101,Fers divers et aciers,Suède,6294.7,quintaux,,acier et fer,1792,kg,48.949999,acier et ferquintaux,,
1278,National/Divers - in/Résultats du CE 1792.csv,Imports,94,Fer et acier,"Suisse, ses alliés et Genève",461,quintaux,,acier et fer,1792,kg,48.949999,acier et ferquintaux,,
307,National/Divers - in/Détail des I et X_1792.csv,Exports,30,Garence ou alisary,Europe,2434803,livres,,alizari et garance,1792,kg,.48949999,alizari et garancelivres,,
270,National/Divers - in/Détail des I et X_1792.csv,Imports,29,Garence ou alisary,Europe,978841,livres,,alizari et garance,1792,kg,.48949999,alizari et garancelivres,,
253,National/Divers - in/Résultats du CE 1792.csv,Exports,51,Garence et alisary,Etats du Roi de Sardaigne,481.13,quintaux,,alizari et garance,1792,kg,48.949999,alizari et garancequintaux,,
5,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Alquifoux ou mine de plomb,Europe,1254824,livres,,alquifoux ou mine de plomb,1792,kg,.48949999,alquifoux ou mine de plomblivres,,
1115,National/Divers - in/Résultats du CE 1792.csv,Imports,89,Alquifoux,Allemagne et Pologne,1293.68,quintaux,,alquifoux,1792,kg,48.949999,alquifouxquintaux,,
679,National/Divers - in/Résultats du CE 1792.csv,Imports,72,Alquifoux,Angleterre y compris l'Ecosse et l'Irlande,4097.72,quintaux,,alquifoux,1792,kg,48.949999,alquifouxquintaux,,
35,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Alun,Europe,78780,livres,,alun,1792,kg,.48949999,alunlivres,.33175322,
6,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Alun,Europe,1722258,livres,,alun,1792,kg,.48949999,alunlivres,.33175322,
452,National/Divers - in/Résultats du CE 1792.csv,Exports,60,Alun,Milanez et Toscane,328.8,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
1114,National/Divers - in/Résultats du CE 1792.csv,Imports,89,Alun,Allemagne et Pologne,252,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
680,National/Divers - in/Résultats du CE 1792.csv,Imports,72,Alun,Angleterre y compris l'Ecosse et l'Irlande,4462.73,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
1,National/Divers - in/Résultats du CE 1792.csv,Imports,40,Alun,Espagne,1449.7,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
1046,National/Divers - in/Résultats du CE 1792.csv,Imports,86,Alun,Etats de l'empereur en Allemagne et en Flandre,426.52,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
548,National/Divers - in/Résultats du CE 1792.csv,Imports,64,Alun,Royaume de Naples et de Sicile et Duché de Parmes,461.7,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
627,National/Divers - in/Résultats du CE 1792.csv,Imports,68,Alun,Etats de l'évêque de Rome et la république de Venise,176.9,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
1446,National/Divers - in/Résultats du CE 1792.csv,Imports,101,Alun,Suède,486.3,quintaux,,alun,1792,kg,48.949999,alunquintaux,,33.175322
38,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Amandes,Asie,28687,livres,,amandes,1792,kg,.48949999,amandeslivres,.5998466,
36,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Amandes,Europe,1024109,livres,,amandes,1792,kg,.48949999,amandeslivres,.5998466,
37,National/Divers - in/Détail des I et X_1792.csv,Exports,22,Amandes,Amérique,140412,livres,,amandes,1792,kg,.48949999,amandeslivres,.5998466,
7,National/Divers - in/Détail des I et X_1792.csv,Imports,21,Amandes,Europe,1357710,livres,,amandes,1792,kg,.48949999,amandeslivres,.5998466,
1118,National/Divers - in/Résultats du CE 1792.csv,Exports,89,Amandes,Allemagne et Pologne,334.3,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
1072,National/Divers - in/Résultats du CE 1792.csv,Exports,87,Amandes,Etats de l'empereur en Allemagne et en Flandre,988.1,quintaux,,amandes,1792,kg,48.949999,amandesquintaux,,59.98466
