numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,remarks,DoubleAccounts
1,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Bestiaux,Royaume d'Espagne,3611000,,0
2,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Beurre,Royaume d'Espagne,43500,,0
3,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Bière,Royaume d'Espagne,4900,,0
4,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Biscuit,Royaume d'Espagne,19900,,0
5,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Blés,Royaume d'Espagne,1298900,,0
6,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Chairs fraîches et salées,Royaume d'Espagne,608400,,0
7,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Cidre,Royaume d'Espagne,600,,0
8,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Eaux-de-vie,Royaume d'Espagne,2090200,,0
9,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Farine et pâtes d'Italie,Royaume d'Espagne,1481900,,0
10,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Fromage,Royaume d'Espagne,82800,,0
11,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Fruits frais,Royaume d'Espagne,10400,,0
12,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Fruits secs,Royaume d'Espagne,91300,,0
13,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,"Fruits châtaignes, marrons, noix",Royaume d'Espagne,1900,,0
14,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Fruits amandes,Royaume d'Espagne,3200,,0
15,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Fruits confitures,Royaume d'Espagne,23200,,0
16,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Fruits confits au vinaigre,Royaume d'Espagne,3100,,0
17,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Huile d'olive,Royaume d'Espagne,114700,,0
18,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Légumes,Royaume d'Espagne,291100,,0
19,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Liqueurs,Royaume d'Espagne,93400,,0
20,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Moutarde,Royaume d'Espagne,1900,,0
21,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Œufs,Royaume d'Espagne,85400,,0
22,Gouttenegre Pascale,AN F12 251,National/Résumé/AN/F_12_251/1815.csv,Résumé,1815,Exportations,Poissons de toutes sortes,Royaume d'Espagne,89100,,0
