numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,remarks,doubleaccounts
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Eaux-de-vie,Royaume d'Espagne,2014000,,0
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Vins divers,Royaume d'Espagne,615100,,0
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Vins de Bordeaux,Royaume d'Espagne,805700,,0
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Vins de liqueurs,Royaume d'Espagne,2000,,0
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Huile d'olive,Royaume d'Espagne,250400,,0
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,"Bestiaux en bœufs, vaches, porcs, et moutons",Royaume d'Espagne,7459300,,0
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Blé,Royaume d'Espagne,62200,,0
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Chairs salées,Royaume d'Espagne,409100,,0
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Fromages,Royaume d'Espagne,137500,,0
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Fruits divers,Royaume d'Espagne,40600,,0
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Poissons de toute sorte,Royaume d'Espagne,56900,,0
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Miel,Royaume d'Espagne,5000,,0
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Sel,Royaume d'Espagne,42300,,0
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Provisions de bouche réunies,Royaume d'Espagne,378100,,0
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Liqueurs,Royaume d'Espagne,42200,,0
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Sirops,Royaume d'Espagne,11600,,0
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Cacao,Royaume d'Espagne,334600,,0
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Café,Royaume d'Espagne,9300,,0
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An8.csv,Résumé,An 8,Exports,Sucre,Royaume d'Espagne,115100,,0
