numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,prix_unitaire,quantity_unit,remarks,doubleaccounts
655,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Royaume d'Espagne,98000,"99,9653979239",quintaux,,0
717,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Royaume de Sardaigne,12000,"99,9653979239",quintaux,,0
810,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Angleterre,12100,"99,9653979239",quintaux,,0
860,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Royaume des Pays-Bas,174800,"99,9653979239",quintaux,,0
919,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Etats de l'Allemagne,245800,"99,9653979239",quintaux,,0
975,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Suisse,2400,"99,9653979239",quintaux,,0
1027,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Royaume de Prusse,9900,"99,9653979239",quintaux,,0
1155,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alquifoux et mine de plomb,Port de Marseille,311700,"99,9653979239",quintaux,,0
656,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Royaume d'Espagne,13900,"97,8083832335",quintaux,,0
718,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Royaume de Sardaigne,114900,"97,8083832335",quintaux,,0
763,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Royaume d'Italie,93000,"97,8083832335",quintaux,,0
793,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Naples et Sicile,5400,"97,8083832335",quintaux,,0
805,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Etats Romains,97900,"97,8083832335",quintaux,,0
861,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Royaume des Pays-Bas,449500,"97,8083832335",quintaux,,0
920,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Etats de l'Allemagne,16600,"97,8083832335",quintaux,,0
976,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Suisse,2000,"97,8083832335",quintaux,,0
1028,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Royaume de Prusse,10400,"97,8083832335",quintaux,,0
1089,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1816.csv,Résumé,1816,Imports,Alun,Royaume de Suède,7400,"97,8083832335",quintaux,,0
