Data entry by,Source,Year,Sheet,Marchandises,Pays,Leur valeur,Leur Valeur (sub-total 1),Total,Par section,Par classe,Remarks,Classes,Sections,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,Royaume d'Espagne,93 300,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,Hollande,200 900,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,Etats-Unis d'Amérique,117 400,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,Villes anséatiques,25 000,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,Royaume de Danemarck,1 200,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,Milanes et toscane,142 900,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,République de Gènes,249 600,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Blé et autres grains comestibles,Empire ottoman et babbarie,2535400,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Blé et autres grains comestibles,Royaume de naples,2 421 800,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Blé et autres grains comestibles,Royaume de sardaigne ,264 900,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Blé et autres grains comestibles,Empire d'Autriche ,483 800,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Blé et autres grains comestibles,Empire de Russie,597 400,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Blé et autres grains comestibles,Etats de Rome,571 400,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Blé et autres grains comestibles,Angleterre,429 400,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Blé et autres grains comestibles,République de VENISE,327 800,,8 462 200,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,Royaume d'Espagne,20 200,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,Hollande,69 300,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,Etats d'Allemagne,1 500,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,Republique de Suisse,4 400,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,Etats-Unis d'Amérique,473 100,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,Milanes et toscane,13 000,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,République de Gènes,401 200,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Riz,Empire ottoman et babbarie,3 500,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Riz,Royaume de naples,6 600,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Riz,Royaume de sardaigne ,734 000,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Riz,Empire d'Autriche ,62 700,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Riz,Royaume de Portugal,45 100,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Riz,Angleterre,228 500,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Riz,République de VENISE,15 200,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Riz,"Colonies francaises en Amérique,Asie et afrique",181 700,,2 260 000,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Farine et biscuit de mer,Royaume d'Espagne,39 900,,236 100,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Farine et biscuit de mer,Milanes et toscane,19 200,,236 100,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Farine et biscuit de mer,République de Gènes,1 700,,236 100,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Farine et biscuit de mer,Royaume de sardaigne ,6 200,,236 100,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Farine et biscuit de mer,Empire d'Autriche ,62 800,,236 100,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,3,Farine et biscuit de mer,Angleterre,106 300,,236 100,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Légumes,Royaume d'Espagne,15 200,,955 800,46 240 300,204 651 300,,Subsistances,1,,
Fatima zahra,,1787,2,Légumes,Hollande,211 300,,955 800,46 240 300,204 651 300,,Subsistances,1,,
