numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,DoubleAccounts
323,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1806,Exports,Laine,Royaume d'Etrurie,300,0
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Eaux-de-vie,Royaume d'Espagne,5187000,0
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Vins divers,Royaume d'Espagne,476300,0
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Vins de Bordeaux,Royaume d'Espagne,459800,0
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Vins de liqueurs,Royaume d'Espagne,47900,0
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Huile d'olive,Royaume d'Espagne,42000,0
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,"Bestiaux en bœufs, vaches, veaux, porcs et moutons",Royaume d'Espagne,3296900,0
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Blé et autres graines comestibles,Royaume d'Espagne,104300,0
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Farine et pâtes d'Italie,Royaume d'Espagne,31300,0
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Chairs salées,Royaume d'Espagne,418800,0
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Fromages,Royaume d'Espagne,331500,0
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Légumes,Royaume d'Espagne,9200,0
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Fruits divers,Royaume d'Espagne,55700,0
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Poissons de toute sorte,Royaume d'Espagne,19000,0
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Miel,Royaume d'Espagne,800,0
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Sel,Royaume d'Espagne,63200,0
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Vinaigre,Royaume d'Espagne,6200,0
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Provisions de bouche réunies,Royaume d'Espagne,201100,0
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Chocolat,Royaume d'Espagne,55600,0
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Liqueurs,Royaume d'Espagne,1200,0
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Café,Royaume d'Espagne,4100,0
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Sucre,Royaume d'Espagne,8100,0
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Epiceries,Royaume d'Espagne,10500,0
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Canelle,Royaume d'Espagne,111400,0
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Girofle,Royaume d'Espagne,198400,0
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Coton,Royaume d'Espagne,3700,0
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Fil,Royaume d'Espagne,282700,0
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Laine,Royaume d'Espagne,4000,0
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,"Brai, goudron et résine",Royaume d'Espagne,266300,0
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Bois divers,Royaume d'Espagne,95700,0
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Cires jaune et blanche,Royaume d'Espagne,653100,0
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Cuirs apprêtés,Royaume d'Espagne,327000,0
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Graines de jardin,Royaume d'Espagne,10000,0
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Graines diverses,Royaume d'Espagne,1300,0
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Huile de graine,Royaume d'Espagne,259700,0
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Charbons,Royaume d'Espagne,700,0
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Tabacs,Royaume d'Espagne,2012000,0
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Articles réunis,Royaume d'Espagne,29600,0
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Garance,Royaume d'Espagne,400,0
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Verdet,Royaume d'Espagne,20500,0
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1809.csv,Résumé,1809,Exports,Drogues réunies,Royaume d'Espagne,44200,0
