numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,DoubleAccounts
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Eaux-de-vie,Royaume d'Espagne,2036891,0
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Vin divers,Royaume d'Espagne,266150,0
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Vin de Bordeaux,Royaume d'Espagne,186297,0
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Vin de liqueurs,Royaume d'Espagne,2656,0
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Huile d'olive,Royaume d'Espagne,56343,0
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,"Bestiaux en bœufs, vaches, porcs et moutons",Royaume d'Espagne,3124224,0
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Blé,Royaume d'Espagne,10016852,0
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Farine,Royaume d'Espagne,2413187,0
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Chairs salées,Royaume d'Espagne,1445527,0
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Fromages,Royaume d'Espagne,39316,0
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Légumes,Royaume d'Espagne,35211,0
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Fruits divers,Royaume d'Espagne,24471,0
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Poissons de toute sorte,Royaume d'Espagne,22604,0
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Miel,Royaume d'Espagne,4419,0
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Sel,Royaume d'Espagne,24777,0
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Provisions de bouche réunies,Royaume d'Espagne,856580,0
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Liqueurs,Royaume d'Espagne,76559,0
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Sirops,Royaume d'Espagne,4010,0
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Cacao,Royaume d'Espagne,51338,0
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Café,Royaume d'Espagne,395,0
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Sucre,Royaume d'Espagne,270515,0
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Epiceries,Royaume d'Espagne,207062,0
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Cannelle,Royaume d'Espagne,88778,0
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Girofle,Royaume d'Espagne,55201,0
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Coton,Royaume d'Espagne,417824,0
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Fil,Royaume d'Espagne,614502,0
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Laine,Royaume d'Espagne,3286,0
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Soie,Royaume d'Espagne,40133,0
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,"Brai, goudron et résine",Royaume d'Espagne,271722,0
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Bois divers,Royaume d'Espagne,202533,0
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Cires jaune et blanche,Royaume d'Espagne,558150,0
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Cuirs apprêtés,Royaume d'Espagne,270718,0
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Graines de trèfle,Royaume d'Espagne,761,0
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Graines de jardin,Royaume d'Espagne,15273,0
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Graines diverses,Royaume d'Espagne,14754,0
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Huile de graine,Royaume d'Espagne,2519,0
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Charbons,Royaume d'Espagne,25701,0
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Tabacs,Royaume d'Espagne,88947,0
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Articles réunis,Royaume d'Espagne,48908,0
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Alun,Royaume d'Espagne,5096,0
41,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Garance,Royaume d'Espagne,207065,0
42,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Rocou,Royaume d'Espagne,6425,0
43,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Verdet,Royaume d'Espagne,20730,0
44,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Drogues réunies,Royaume d'Espagne,77643,0
45,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Eaux-de-vie,Royaume de Hollande,269869,0
46,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Vin divers,Royaume de Hollande,863474,0
47,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Vin de Bordeaux,Royaume de Hollande,481642,0
48,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Huile d'olive,Royaume de Hollande,8105,0
49,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,"Bestiaux en bœufs, vaches, porcs et moutons",Royaume de Hollande,714600,0
50,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Blé,Royaume de Hollande,241812,0
51,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Farine,Royaume de Hollande,1232,0
52,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Chairs salées,Royaume de Hollande,7850,0
53,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Fromages,Royaume de Hollande,7638,0
54,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Légumes,Royaume de Hollande,5956,0
55,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Fruits divers,Royaume de Hollande,128609,0
56,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Poissons de toute sorte,Royaume de Hollande,24901,0
57,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Miel,Royaume de Hollande,193480,0
58,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Sel,Royaume de Hollande,204673,0
59,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Provisions de bouche réunies,Royaume de Hollande,253802,0
60,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Chocolat,Royaume de Hollande,1224,0
61,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Liqueurs,Royaume de Hollande,2248,0
62,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Sirops,Royaume de Hollande,41419,0
63,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Thé,Royaume de Hollande,263928,0
64,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Sucre,Royaume de Hollande,2533,0
65,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Coton,Royaume de Hollande,30804,0
66,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Fil,Royaume de Hollande,468422,0
67,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Laine,Royaume de Hollande,33208,0
68,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Soie,Royaume de Hollande,3975,0
69,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,"Brai, goudron et résine",Royaume de Hollande,1925,0
70,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Bois divers,Royaume de Hollande,49889,0
71,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Cires jaune et blanche,Royaume de Hollande,7824,0
72,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Cuirs apprêtés,Royaume de Hollande,362164,0
73,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Graines de trèfle,Royaume de Hollande,1897338,0
74,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Graines de jardin,Royaume de Hollande,26136,0
75,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An13.csv,Résumé,An 13,Exportations,Graines diverses,Royaume de Hollande,41180,0
