numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,marchandises,pays,value,remarks,DoubleAccounts
1,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Bestiaux,Royaume d'Espagne,2457400,,0
2,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Bière,Royaume d'Espagne,19500,,0
3,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Biscuit de mer,Royaume d'Espagne,800,,0
4,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Blés,Royaume d'Espagne,747600,,0
5,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Chairs salées,Royaume d'Espagne,446700,,0
6,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Eaux-de-vie,Royaume d'Espagne,3536700,,0
7,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Farine,Royaume d'Espagne,494600,,0
8,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Fromage,Royaume d'Espagne,428100,,0
9,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Fruits divers,Royaume d'Espagne,37800,,0
10,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Fruits secs,Royaume d'Espagne,29300,,0
11,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Fruits amandes,Royaume d'Espagne,500,,0
12,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1810.csv,Résumé,1810,Exports,Fruits châtaignes,Royaume d'Espagne,5300,,0
