numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,prix_unitaire,quantity_unit,remarks,doubleaccounts
32,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Agaric amadouvier,Royaume d'Espagne et ses colonies,25700,"167,7876106195",quintaux,,0
224,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Agaric amadouvier,Royaume de Sardaigne,36000,"167,7876106195",quintaux,,0
887,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Agaric amadouvier,Etats de l'Allemagne,28900,"167,7876106195",quintaux,,0
1023,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Agaric amadouvier,Suisse,4200,"167,7876106195",quintaux,,0
64,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Royaume d'Espagne et ses colonies,152300,"100,2770431936",quintaux,,0
155,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Royaume de Portugal et ses colonies,400,"100,2770431936",quintaux,,0
259,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Royaume de Sardaigne,62500,"100,2770431936",quintaux,,0
388,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Italie,45200,"100,2770431936",quintaux,,0
598,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Angleterre et ses colonies de l'Inde,900,"100,2770431936",quintaux,,0
759,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Royaume des Pays-Bas et ses colonies,168400,"100,2770431936",quintaux,,0
919,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Etats de l'Allemagne,70900,"100,2770431936",quintaux,,0
1050,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Suisse,2200,"100,2770431936",quintaux,,0
1158,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alquifoux et mine de plomb,Royaume de Prusse,293500,"100,2770431936",quintaux,,0
65,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Royaume d'Espagne et ses colonies,14800,"104,2582417582",quintaux,,0
260,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Royaume de Sardaigne,288700,"104,2582417582",quintaux,,0
389,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Italie,17000,"104,2582417582",quintaux,,0
522,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Etats de Rome,20300,"104,2582417582",quintaux,,0
599,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Angleterre et ses colonies de l'Inde,14300,"104,2582417582",quintaux,,0
760,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Royaume des Pays-Bas et ses colonies,209200,"104,2582417582",quintaux,,0
920,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Etats de l'Allemagne,9600,"104,2582417582",quintaux,,0
1051,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Suisse,400,"104,2582417582",quintaux,,0
1159,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Royaume de Prusse,105300,"104,2582417582",quintaux,,0
1525,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Alun,Empire Ottoman,3500,"104,2582417582",quintaux,,0
286,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Armes diverses,Royaume de Sardaigne,2300,"543,8709677419",quintaux,,0
628,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Armes diverses,Angleterre et ses colonies de l'Inde,2200,"543,8709677419",quintaux,,0
797,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Armes diverses,Royaume des Pays-Bas et ses colonies,60100,"543,8709677419",quintaux,,0
946,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Armes diverses,Etats de l'Allemagne,1400,"543,8709677419",quintaux,,0
1180,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Armes diverses,Royaume de Prusse,15000,"543,8709677419",quintaux,,0
1307,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Armes diverses,Royaume de Danemark,900,"543,8709677419",quintaux,,0
1384,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Armes diverses,Empire de Russie,2500,"543,8709677419",quintaux,,0
76,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Royaume d'Espagne et ses colonies,11500,,,,0
161,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Royaume de Portugal et ses colonies,25100,,,,0
272,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Royaume de Sardaigne,25200,,,,0
399,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Italie,800,,,,0
490,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Naples et Sicile,20900,,,,0
614,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Angleterre et ses colonies de l'Inde,36700,,,,0
779,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Royaume des Pays-Bas et ses colonies,45100,,,,0
930,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Etats de l'Allemagne,22600,,,,0
1060,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Suisse,8900,,,,0
1168,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Royaume de Prusse,46400,,,,0
1446,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Etats-Unis d'Amérique,2000,,,,0
1532,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunies,Empire Ottoman,5100,,,,0
63,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume d'Espagne et ses colonies,114100,,,,0
105,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume d'Espagne et ses colonies,33000,,,,0
112,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume d'Espagne et ses colonies,26500,,,,0
118,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume d'Espagne et ses colonies,4500,,,,0
154,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Portugal et ses colonies,700,,,,0
179,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Portugal et ses colonies,700,,,,0
184,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Portugal et ses colonies,11000,,,,0
258,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Sardaigne,17900,,,Chiffre illisible,0
285,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Sardaigne,5300,,,,0
311,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Sardaigne,90300,,,,0
320,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Sardaigne,33600,,,,0
328,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Royaume de Sardaigne,4400,,,,0
387,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Italie,500,,,,0
409,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Italie,5700,,,,0
431,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Italie,45800,,,,0
440,David Cassagnes,AN F12 251,National/Résumé/AN/F_12_251/1818.csv,Résumé,1818,Imports,Articles réunis,Italie,18400,,,,0
