,Data entry by,Source,Year,Sheet,Marchandises concaténées,Pays,Leur valeur,Leur Valeur (sub-total 1),Total,Par section,Par classe,Remarks,,
1,Fatima zahra,AN/F12/251,1787,2,1///Subsistances///Blé et autres grains comestibles,Royaume d'Espagne,93 300,,8 462 200,46 240 300,204 651 300,,,
2,Fatima zahra,AN/F12/252,1787,2,1///Subsistances///Blé et autres grains comestibles,Hollande,200 900,,8 462 200,46 240 300,204 651 300,,,
3,Fatima zahra,AN/F12/253,1787,2,1///Subsistances///Blé et autres grains comestibles,Etats-Unis d'Amérique,117 400,,8 462 200,46 240 300,204 651 300,,,
4,Fatima zahra,AN/F12/254,1787,2,1///Subsistances///Blé et autres grains comestibles,Villes anséatiques,25 000,,8 462 200,46 240 300,204 651 300,,,
5,Fatima zahra,AN/F12/255,1787,2,1///Subsistances///Blé et autres grains comestibles,Royaume de Danemarck,1 200,,8 462 200,46 240 300,204 651 300,,,
6,Fatima zahra,AN/F12/256,1787,2,1///Subsistances///Blé et autres grains comestibles,Milanes et toscane,142 900,,8 462 200,46 240 300,204 651 300,,,
7,Fatima zahra,AN/F12/257,1787,2,1///Subsistances///Blé et autres grains comestibles,République de Gènes,249 600,,8 462 200,46 240 300,204 651 300,,,
8,Fatima zahra,AN/F12/258,1787,2,1///Subsistances///Blé et autres grains comestibles,Empire ottoman et babbarie,2535400,,8 462 200,46 240 300,204 651 300,,,
9,Fatima zahra,AN/F12/259,1787,3,1///Subsistances///Blé et autres grains comestibles,Royaume de naples,2 421 800,,8 462 200,46 240 300,204 651 300,,,
10,Fatima zahra,AN/F12/260,1787,3,1///Subsistances///Blé et autres grains comestibles,Royaume de sardaigne ,264 900,,8 462 200,46 240 300,204 651 300,,,
11,Fatima zahra,AN/F12/261,1787,3,1///Subsistances///Blé et autres grains comestibles,Empire d'Autriche ,483 800,,8 462 200,46 240 300,204 651 300,,,
12,Fatima zahra,AN/F12/262,1787,3,1///Subsistances///Blé et autres grains comestibles,Empire de Russie,597 400,,8 462 200,46 240 300,204 651 300,,,
13,Fatima zahra,AN/F12/263,1787,3,1///Subsistances///Blé et autres grains comestibles,Etats de Rome,571 400,,8 462 200,46 240 300,204 651 300,,,
14,Fatima zahra,AN/F12/264,1787,3,1///Subsistances///Blé et autres grains comestibles,Angleterre,429 400,,8 462 200,46 240 300,204 651 300,,,
15,Fatima zahra,AN/F12/265,1787,3,1///Subsistances///Blé et autres grains comestibles,République de VENISE,327 800,,8 462 200,46 240 300,204 651 300,,,
16,Fatima zahra,AN/F12/266,1787,2,1///Subsistances///Riz,Royaume d'Espagne,20 200,,2 260 000,46 240 300,204 651 300,,,
17,Fatima zahra,AN/F12/267,1787,2,1///Subsistances///Riz,Hollande,69 300,,2 260 000,46 240 300,204 651 300,,,
18,Fatima zahra,AN/F12/268,1787,2,1///Subsistances///Riz,Etats d'Allemagne,1 500,,2 260 000,46 240 300,204 651 300,,,
19,Fatima zahra,AN/F12/269,1787,2,1///Subsistances///Riz,Republique de Suisse,4 400,,2 260 000,46 240 300,204 651 300,,,
20,Fatima zahra,AN/F12/270,1787,2,1///Subsistances///Riz,Etats-Unis d'Amérique,473 100,,2 260 000,46 240 300,204 651 300,,,
21,Fatima zahra,AN/F12/271,1787,2,1///Subsistances///Riz,Milanes et toscane,13 000,,2 260 000,46 240 300,204 651 300,,,
