numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,"Blé et autres grains, comestibles",2000
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Légumes,23800
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,"Bestiaux en bœufs, vaches, porcs moutons",3200
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Chairs salées,5800
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Fromage,15700
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Poissons de toute sorte,651200
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Huile d'olive,125200
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,"Fruits verts, en oranges et citrons",147400
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,"Fruits secs, en amandes, figues et raisins",1016800
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Vins,604400
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Eaux-de-vie,3079800
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Provisions diverses,44800
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Cacao,18600
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Café,1165000
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Sucre,1205100
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Liqueurs et sirops,35900
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Poivre ,250300
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Cannelle,1000
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Epiceries diverses,56900
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An7.csv,Résumé,An 7,Importations,Royaume d'Espagne,Chanvre,37800
