numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,remarks,doubleaccounts
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bestiaux,Royaume d'Espagne,6066500,,0
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Beurre,Royaume d'Espagne,217600,,0
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Blés,Royaume d'Espagne,11000,,0
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Chairs Fraîches et salées,Royaume d'Espagne,598000,,0
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Farines, pâtes et biscuit",Royaume d'Espagne,20300,,0
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fromages,Royaume d'Espagne,102900,,0
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits frais divers,Royaume d'Espagne,5700,,0
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits secs divers,Royaume d'Espagne,66200,,0
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits secs amandes,Royaume d'Espagne,8600,,0
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits confits au sucre,Royaume d'Espagne,13900,,0
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits confits à l'eau-de-vie,Royaume d'Espagne,75000,,0
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits et légumes confits au vinaigre,Royaume d'Espagne,12200,,0
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Huile d'olive,Royaume d'Espagne,196500,,0
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Légumes verts et secs,Royaume d'Espagne,21000,,0
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Miel,Royaume d'Espagne,400,,0
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Moutarde,Royaume d'Espagne,2000,,0
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Œufs,Royaume d'Espagne,97300,,0
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Poissons frais et salés,Royaume d'Espagne,61900,,0
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Riz,Royaume d'Espagne,11300,,0
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Sel de mer et de salins,Royaume d'Espagne,6600,,0
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Provisions diverses réunies,Royaume d'Espagne,49800,,0
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bierre et cidre,Royaume d'Espagne,6900,,0
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Eaux-de-vie,Royaume d'Espagne,648200,,0
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Liqueurs,Royaume d'Espagne,40600,,0
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins divers,Royaume d'Espagne,311900,,0
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins de Bordeaux,Royaume d'Espagne,1021000,,0
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins de liqueur,Royaume d'Espagne,5900,,0
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vinaigre,Royaume d'Espagne,64600,,0
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Denrées coloniales, telles que sucre, café, thé",Royaume d'Espagne,3900,,0
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Epiceries diverses,Royaume d'Espagne,11000,,0
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bêtes de somme,Royaume d'Espagne,4950300,,0
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Chanvre,Royaume d'Espagne,13600,,0
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Coton filé,Royaume d'Espagne,37900,,0
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fil de lin et de chanvre,Royaume d'Espagne,415500,,0
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Laines fines, filées, &c",Royaume d'Espagne,15800,,0
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Lin,Royaume d'Espagne,142100,,0
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Soies,Royaume d'Espagne,41200,,0
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bois divers de construction,Royaume d'Espagne,222400,,0
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bois des îles et des Indes,Royaume d'Espagne,5900,,0
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Brai, goudron et résine",Royaume d'Espagne,196700,,0
41,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cendres dites potasses et soudes,Royaume d'Espagne,600,,0
42,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Charbon de terre et de bois,Royaume d'Espagne,6800,,0
43,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cire jaune et blanche,Royaume d'Espagne,472300,,0
44,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Crin,Royaume d'Espagne,1700,,0
45,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cuirs apprêtés,Royaume d'Espagne,214400,,0
46,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Graines de jardin,Royaume d'Espagne,3400,,0
47,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Graines de trèfle et luzerne,Royaume d'Espagne,3100,,0
48,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Huiles de graines,Royaume d'Espagne,30800,,0
49,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Liège en planche,Royaume d'Espagne,4500,,0
50,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Matériaux de construction, tels que pierres, plâtres, chaux, &e",Royaume d'Espagne,11500,,0
51,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Soufre,Royaume d'Espagne,3100,,0
52,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Suif,Royaume d'Espagne,3800,,0
53,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Tabacs,Royaume d'Espagne,5800,,0
54,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Articles réunis,Royaume d'Espagne,24300,,0
55,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Couleurs et teintures diverses fabriquées,Royaume d'Espagne,66900,,0
56,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Garance et alizari,Royaume d'Espagne,206600,,0
57,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Herbes à teindre,Royaume d'Espagne,5900,,0
58,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Indigo,Royaume d'Espagne,5500,,0
59,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Noix de galles,Royaume d'Espagne,68900,,0
60,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Verdet,Royaume d'Espagne,45500,,0
61,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Articles réunis,Royaume d'Espagne,51400,,0
62,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Beurre,Royaume de Portugal,787600,,0
63,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Blés,Royaume de Portugal,500,,0
64,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Chairs Fraîches et salées,Royaume de Portugal,4200,,0
65,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Farines, pâtes et biscuit",Royaume de Portugal,1000,,0
66,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fromages,Royaume de Portugal,4600,,0
67,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits frais divers,Royaume de Portugal,400,,0
68,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits secs divers,Royaume de Portugal,5900,,0
69,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits confits au sucre,Royaume de Portugal,2000,,0
70,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits confits à l'eau-de-vie,Royaume de Portugal,5500,,0
71,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits et légumes confits au vinaigre,Royaume de Portugal,10700,,0
72,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Huile d'olive,Royaume de Portugal,22100,,0
73,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Poissons frais et salés,Royaume de Portugal,20500,,0
74,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Sel de mer et de salins,Royaume de Portugal,10500,,0
75,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Provisions diverses réunies,Royaume de Portugal,5600,,0
76,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bierre et cidre,Royaume de Portugal,3600,,0
77,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Eaux-de-vie,Royaume de Portugal,68500,,0
78,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Liqueurs,Royaume de Portugal,5000,,0
79,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins divers,Royaume de Portugal,178400,,0
80,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins de Bordeaux,Royaume de Portugal,65000,,0
81,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vins de liqueur,Royaume de Portugal,4700,,0
82,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Vinaigre,Royaume de Portugal,15500,,0
83,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bêtes de somme,Royaume de Portugal,8800,,0
84,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Chanvre,Royaume de Portugal,1700,,0
85,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Coton filé,Royaume de Portugal,8400,,0
86,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fil de lin et de chanvre,Royaume de Portugal,20200,,0
87,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Lin,Royaume de Portugal,93500,,0
88,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bois divers de construction,Royaume de Portugal,1000,,0
89,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Brai, goudron et résine",Royaume de Portugal,15700,,0
90,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cire jaune et blanche,Royaume de Portugal,2300,,0
91,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Cuirs apprêtés,Royaume de Portugal,19200,,0
92,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Huiles de graines,Royaume de Portugal,26200,,0
93,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Matériaux de construction, tels que pierres, plâtres, chaux, &e",Royaume de Portugal,10300,,0
94,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Soufre,Royaume de Portugal,900,,0
95,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Tabacs,Royaume de Portugal,1800,,0
96,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Articles réunis,Royaume de Portugal,5500,,0
97,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Couleurs et teintures diverses fabriquées,Royaume de Portugal,8700,,0
98,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Verdet,Royaume de Portugal,15400,,0
99,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Articles réunis,Royaume de Portugal,10600,,0
100,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Bestiaux,Royaume de Sardaigne,45900,,0
101,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Beurre,Royaume de Sardaigne,14500,,0
102,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Chairs Fraîches et salées,Royaume de Sardaigne,10700,,0
103,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,"Farines, pâtes et biscuit",Royaume de Sardaigne,38900,,0
104,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fromages,Royaume de Sardaigne,131000,,0
105,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits frais divers,Royaume de Sardaigne,8500,,0
106,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits secs divers,Royaume de Sardaigne,76700,,0
107,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits secs amandes,Royaume de Sardaigne,7100,,0
108,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits confits au sucre,Royaume de Sardaigne,3000,,0
109,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits confits à l'eau-de-vie,Royaume de Sardaigne,1300,,0
110,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1817.csv,Résumé,1817,Exports,Fruits et légumes confits au vinaigre,Royaume de Sardaigne,23500,,0
