numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,remarks,DoubleAccounts
1,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Eaux de vie,Royaume d'Espagne,3273802,,0
2,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Vin divers,Royaume d'Espagne,457956,,0
3,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Vin de liqueurs,Royaume d'Espagne,28480,,0
4,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Huile d'olive,Royaume d'Espagne,93370,,0
5,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,"Bestiaux en bœufs, vaches, veaux, porcs et moutons",Royaume d'Espagne,4244790,,0
6,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Blé,Royaume d'Espagne,2915,,0
7,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Chairs salées,Royaume d'Espagne,264150,,0
8,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Fromages,Royaume d'Espagne,229053,,0
9,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Fruits divers,Royaume d'Espagne,38263,,0
10,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Poissons de toute sorte,Royaume d'Espagne,32660,,0
11,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Sel,Royaume d'Espagne,13266,,0
12,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Provisions de bouche réunies,Royaume d'Espagne,195804,,0
13,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Liqueurs,Royaume d'Espagne,46600,,0
14,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Epiceries,Royaume d'Espagne,12162,,0
15,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Cannelle,Royaume d'Espagne,11630,,0
16,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Girofle,Royaume d'Espagne,64004,,0
17,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Coton,Royaume d'Espagne,47100,,0
18,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Fil,Royaume d'Espagne,7620,,0
19,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Laine,Royaume d'Espagne,276762,,0
20,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,"Brai, goudron et résine",Royaume d'Espagne,163260,,0
21,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Bois divers,Royaume d'Espagne,126692,,0
22,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1808.csv,Résumé,1808,Exports,Cires jaune et blanche,Royaume d'Espagne,637578,,0
