,Data entry by,Source,Year,Sheet,Marchandises concaténées,Pays,Leur valeur,Leur Valeur (sub-total 1),Total,Par section,Par classe,Remarks,
1,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Royaume d'Espagne,32 000,,9 419 600,52 012 400,246 613 100,,
2,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Hollande,697 100,,9 419 600,52 012 400,246 613 100,,
3,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Royaume de Prusse,225 400,,9 419 600,52 012 400,246 613 100,,
4,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Etats d'Allemagne,11 900,,9 419 600,52 012 400,246 613 100,,
5,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Villes anséatique,567 300,,9 419 600,52 012 400,246 613 100,,
6,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Royaume de Danemarck,98 100,,9 419 600,52 012 400,246 613 100,,
7,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Royaume de suede,49 900,,9 419 600,52 012 400,246 613 100,,
8,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Milane et toscane,241 000,,9 419 600,52 012 400,246 613 100,,
9,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",République de Genes,185 000,,9 419 600,52 012 400,246 613 100,,
10,Fatima zahra,AN/F12/251,1788,9,"1///Subsistances///Blé et autres grains, comestibles",Empire ottoman et barbarie,2 832 300,,9 419 600,52 012 400,246 613 100,,
11,Fatima zahra,AN/F12/251,1788,10,"1///Subsistances///Blé et autres grains, comestibles",Royaume de naples,2 131 800,,9 419 600,52 012 400,246 613 100,,
12,Fatima zahra,AN/F12/251,1788,10,"1///Subsistances///Blé et autres grains, comestibles",Royaume de Sardaigne,370 700,,9 419 600,52 012 400,246 613 100,,
13,Fatima zahra,AN/F12/251,1788,10,"1///Subsistances///Blé et autres grains, comestibles",Empire d'Autriche,579 400,,9 419 600,52 012 400,246 613 100,,
14,Fatima zahra,AN/F12/251,1788,10,"1///Subsistances///Blé et autres grains, comestibles",Etats de Rome,393 200,,9 419 600,52 012 400,246 613 100,,
15,Fatima zahra,AN/F12/251,1788,10,"1///Subsistances///Blé et autres grains, comestibles",Angleterre,892 500,,9 419 600,52 012 400,246 613 100,,
16,Fatima zahra,AN/F12/251,1788,10,"1///Subsistances///Blé et autres grains, comestibles",République de Venise,112 000,,9 419 600,52 012 400,246 613 100,,
17,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Riz,Royaume d'Espagne,10 500,,1 901 400,52 012 400,246 613 100,,
18,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Riz,Etats-Unis d'amérique,180 300,,1 901 400,52 012 400,246 613 100,,
19,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Riz,Milane et toscane,17 800,,1 901 400,52 012 400,246 613 100,,
20,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Riz,République de Genes,294 200,,1 901 400,52 012 400,246 613 100,,
21,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Riz,Royaume de Sardaigne,944 100,,1 901 400,52 012 400,246 613 100,,
22,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Riz,Empire d'Autriche,50 600,,1 901 400,52 012 400,246 613 100,,
23,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Riz,Angleterre,393 300,,1 901 400,52 012 400,246 613 100,,
24,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Riz,"Colonies francaises en Asie,Afrique en Amérique",10 600,,1 901 400,52 012 400,246 613 100,,
25,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Farine et biscuit de mer,Royaume d'Espagne,11 400,,828 200,52 012 400,246 613 100,,
26,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Farine et biscuit de mer,Hollande,9 400,,828 200,52 012 400,246 613 100,,
27,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Farine et biscuit de mer,Etats-Unis d'amérique,41 900,,828 200,52 012 400,246 613 100,,
28,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Farine et biscuit de mer,Villes anséatique,17 800,,828 200,52 012 400,246 613 100,,
29,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Farine et biscuit de mer,Milane et toscane,23 500,,828 200,52 012 400,246 613 100,,
30,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Farine et biscuit de mer,Empire d'Autriche,97 500,,828 200,52 012 400,246 613 100,,
31,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Farine et biscuit de mer,Angleterre,626 700,,828 200,52 012 400,246 613 100,,
32,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Légumes,Royaume d'Espagne,27 700,,1 196 800,52 012 400,246 613 100,,
33,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Légumes,Hollande,673 300,,1 196 800,52 012 400,246 613 100,,
34,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Légumes,Villes anséatique,103 100,,1 196 800,52 012 400,246 613 100,,
35,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Légumes,Royaume de Danemarck,16 300,,1 196 800,52 012 400,246 613 100,,
36,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Légumes,Milane et toscane,33 400,,1 196 800,52 012 400,246 613 100,,
37,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Légumes,République de Genes,18 700,,1 196 800,52 012 400,246 613 100,,
38,Fatima zahra,AN/F12/251,1788,9,1///Subsistances///Légumes,Empire ottoman et barbarie,153 800,,1 196 800,52 012 400,246 613 100,,
39,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Légumes,Royaume de naples,44 200,,1 196 800,52 012 400,246 613 100,,
40,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Légumes,Royaume de Sardaigne,18 600,,1 196 800,52 012 400,246 613 100,,
41,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Légumes,Etats de Rome,24 800,,1 196 800,52 012 400,246 613 100,,
42,Fatima zahra,AN/F12/251,1788,10,1///Subsistances///Légumes,Angleterre,82 900,,1 196 800,52 012 400,246 613 100,,
