numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_2,remarks,doubleaccounts
1,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Beurre,"Colonies francaises en Amérique,Asie et afrique",1198800,99200500,1198800,,0
2,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Royaume d'Espagne,869600,99200500,18900000,,0
3,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Hollande,389500,99200500,18900000,,0
4,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Royaume de Prusse,221200,99200500,18900000,,0
5,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Etats d'Allemagne,324600,99200500,18900000,,0
6,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,République de suisse,426800,99200500,18900000,,0
7,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Etats-Unis d'Amérique,529500,99200500,18900000,,0
8,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Villes anséatiques,2150000,99200500,18900000,,0
9,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Royaume de Danemarck,1523000,99200500,18900000,,0
10,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Royaume de Suede,875400,99200500,18900000,,0
11,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Eaux-de-vie,Milanes et toscane,21700,99200500,18900000,,0
12,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,République de Genes,3800,99200500,18900000,,0
13,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,Empire ottoman et Barbarie,10900,99200500,18900000,,0
14,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,Royaume de sardaigne,146400,99200500,18900000,,0
15,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,Empire d'Autriche,1375500,99200500,18900000,,0
16,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,Empire de Russie,674000,99200500,18900000,,0
17,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,Royaume de Portugal,5800,99200500,18900000,,0
18,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,Etats de Rome,1800,99200500,18900000,,0
19,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,Angleterre,7456700,99200500,18900000,,0
20,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Eaux-de-vie,"Colonies francaises en Amérique,Asie et afrique",1874300,99200500,18900000,,0
21,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Royaume d'Espagne,2200,99200500,9673800,,0
22,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Hollande,536000,99200500,9673800,,0
23,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Royaume de Prusse,243300,99200500,9673800,,0
24,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Etats d'Allemagne,939000,99200500,9673800,,0
25,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,République de suisse,2131900,99200500,9673800,,0
26,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Etats-Unis d'Amérique,74300,99200500,9673800,,0
27,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Villes anséatiques,598200,99200500,9673800,,0
28,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Royaume de Danemarck,152900,99200500,9673800,,0
29,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Royaume de Suede,75500,99200500,9673800,,0
30,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins divers,Milanes et toscane,84200,99200500,9673800,,0
31,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,République de Genes,1217800,99200500,9673800,,0
32,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Empire ottoman et Barbarie,61300,99200500,9673800,,0
33,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Royaume de Naples,11500,99200500,9673800,,0
34,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Royaume de sardaigne,772600,99200500,9673800,,0
35,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Empire d'Autriche,1153000,99200500,9673800,,0
36,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Empire de Russie,176400,99200500,9673800,,0
37,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Royaume de Portugal,11000,99200500,9673800,,0
38,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Etats de Rome,7800,99200500,9673800,,0
39,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,Angleterre,279500,99200500,9673800,,0
40,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,République de VENISE,1000,99200500,9673800,,0
41,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins divers,"Colonies francaises en Amérique,Asie et afrique",1144400,99200500,9673800,,0
42,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Royaume d'Espagne,324200,99200500,23900000,,0
43,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Hollande,2335100,99200500,23900000,,0
44,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Royaume de Prusse,2486100,99200500,23900000,,0
45,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Etats d'Allemagne,32800,99200500,23900000,,0
46,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,République de suisse,4800,99200500,23900000,,0
47,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Etats-Unis d'Amérique,68300,99200500,23900000,,0
48,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Villes anséatiques,3165300,99200500,23900000,,0
49,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Royaume de Danemarck,971000,99200500,23900000,,0
50,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Royaume de Suede,467300,99200500,23900000,,0
51,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vins de bordeaux,Milanes et toscane,2900,99200500,23900000,,0
52,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Empire ottoman et Barbarie,5400,99200500,23900000,,0
53,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Royaume de Naples,6200,99200500,23900000,,0
54,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Royaume de Naples,3700,99200500,23900000,,0
55,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Royaume de sardaigne,36800,99200500,23900000,,0
56,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Empire d'Autriche,800200,99200500,23900000,,0
57,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Empire de Russie,1383500,99200500,23900000,,0
58,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Royaume de Portugal,3500,99200500,23900000,,0
59,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Etats de Rome,4500,99200500,23900000,,0
60,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,Angleterre,5602900,99200500,23900000,,0
61,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vins de bordeaux,"Colonies francaises en Amérique,Asie et afrique",6199500,99200500,23900000,,0
62,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vin de liqueurs,Royaume d'Espagne,9700,99200500,169300,,0
63,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vin de liqueurs,Etats d'Allemagne,56400,99200500,169300,,0
64,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vin de liqueurs,République de suisse,5900,99200500,169300,,0
65,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vin de liqueurs,Etats-Unis d'Amérique,10200,99200500,169300,,0
66,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vin de liqueurs,Villes anséatiques,1800,99200500,169300,,0
67,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Vin de liqueurs,Milanes et toscane,4700,99200500,169300,,0
68,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,République de Genes,8800,99200500,169300,,0
69,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,Empire ottoman et Barbarie,1300,99200500,169300,,0
70,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,Royaume de Naples,4100,99200500,169300,,0
71,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,Royaume de sardaigne,6500,99200500,169300,,0
72,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,Empire d'Autriche,12300,99200500,169300,,0
73,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,Empire de Russie,1000,99200500,169300,,0
74,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,Angleterre,5800,99200500,169300,,0
75,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Vin de liqueurs,"Colonies francaises en Amérique,Asie et afrique",40800,99200500,169300,,0
76,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Royaume d'Espagne,6300,99200500,4021200,,0
77,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Hollande,150900,99200500,4021200,,0
78,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Royaume de Prusse,14200,99200500,4021200,,0
79,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Etats d'Allemagne,39900,99200500,4021200,,0
80,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,République de suisse,567800,99200500,4021200,,0
81,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Etats-Unis d'Amérique,18400,99200500,4021200,,0
82,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Villes anséatiques,273600,99200500,4021200,,0
83,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Royaume de Danemarck,88300,99200500,4021200,,0
84,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Royaume de Suede,51200,99200500,4021200,,0
85,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Huile d'olive,Milanes et toscane,38600,99200500,4021200,,0
86,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Royaume de genes,1800,99200500,4021200,,0
87,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Empire ottoman et Barbarie,28300,99200500,4021200,,0
88,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Royaume de Naples,2200,99200500,4021200,,0
89,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Royaume de sardaigne,127600,99200500,4021200,,0
90,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Empire d'Autriche,240400,99200500,4021200,,0
91,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Empire de Russie,51000,99200500,4021200,,0
92,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Etats de Rome,4200,99200500,4021200,,0
93,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,Angleterre,42900,99200500,4021200,,0
94,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Subsistances///Huile d'olive,"Colonies francaises en Amérique,Asie et afrique",2273600,99200500,4021200,,0
95,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",Royaume d'Espagne,2517600,99200500,5063700,,0
96,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",Etats d'Allemagne,754800,99200500,5063700,,0
97,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",République de suisse,1191100,99200500,5063700,,0
98,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",Royaume de sardaigne,388600,99200500,5063700,,0
99,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",Empire d'Autriche,131600,99200500,5063700,,0
100,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",Angleterre,80000,99200500,5063700,,0
101,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,Royaume d'Espagne,3493500,99200500,9673300,,0
102,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,Hollande,463200,99200500,9673300,,0
103,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Subsistances///Blé,Etats d'Allemagne,80700,99200500,9673300,,0
