numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,doubleaccounts,remarks
1,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bestiaux,Royaume d'Espagne,3977600,0,
2,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Beurre,Royaume d'Espagne,4500,0,
3,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chairs salées et fraîches,Royaume d'Espagne,686000,0,
4,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Eaux-de-vie,Royaume d'Espagne,1525000,0,
5,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Farine, gruau et biscuits",Royaume d'Espagne,47000,0,
6,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fromage,Royaume d'Espagne,291900,0,
7,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits divers,Royaume d'Espagne,1100,0,
8,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits secs divers,Royaume d'Espagne,15000,0,
9,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fruits amandes,Royaume d'Espagne,2500,0,
10,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huile d'olive,Royaume d'Espagne,39900,0,
11,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Miel,Royaume d'Espagne,800,0,
12,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poissons divers,Royaume d'Espagne,16300,0,
13,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poissons anchois,Royaume d'Espagne,93400,0,
14,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Sel,Royaume d'Espagne,93400,0,
15,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins divers,Royaume d'Espagne,505700,0,
16,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins de Bordeaux,Royaume d'Espagne,2400,0,
17,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins de liqueur,Royaume d'Espagne,14000,0,
18,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vinaigre,Royaume d'Espagne,10500,0,
19,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Volailles et gibier,Royaume d'Espagne,16100,0,
20,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Royaume d'Espagne,160200,0,
21,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Liqueurs, rhum, &c",Royaume d'Espagne,10400,0,
22,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bêtes de somme,Royaume d'Espagne,2258100,0,
23,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Coton,Royaume d'Espagne,800,0,
24,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fil de lin et de chanvre,Royaume d'Espagne,216700,0,
25,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Laines filées,Royaume d'Espagne,1700,0,
26,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Baleine,Royaume d'Espagne,1000,0,
27,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bois divers,Royaume d'Espagne,20000,0,
28,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bois des îles,Royaume d'Espagne,3900,0,
29,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Brai, goudron et résine",Royaume d'Espagne,68500,0,
30,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Charbon de bois et de terre,Royaume d'Espagne,600,0,
31,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cire blanche et jaune,Royaume d'Espagne,218800,0,
32,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cuirs apprêtés,Royaume d'Espagne,55700,0,
33,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines diverses,Royaume d'Espagne,800,0,
34,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de jardin,Royaume d'Espagne,1700,0,
35,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de millet,Royaume d'Espagne,147500,0,
36,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines de trèfle et luzerne,Royaume d'Espagne,200,0,
37,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huiles de graines et de noix,Royaume d'Espagne,34000,0,
38,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huiles de poissons,Royaume d'Espagne,1900,0,
39,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Liège en planches,Royaume d'Espagne,200,0,
40,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soufre,Royaume d'Espagne,2900,0,
41,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Royaume d'Espagne,34800,0,
42,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Alun,Royaume d'Espagne,3300,0,
43,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Garance,Royaume d'Espagne,14000,0,
44,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Verdet,Royaume d'Espagne,4200,0,
45,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Royaume d'Espagne,28600,0,
46,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bestiaux,Royaume de Prusse,300,0,
47,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Beurre,Royaume de Prusse,1700,0,
48,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chairs salées et fraîches,Royaume de Prusse,1800,0,
49,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Eaux-de-vie,Royaume de Prusse,7400,0,
50,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Farine, gruau et biscuits",Royaume de Prusse,1500,0,
51,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fromage,Royaume de Prusse,1400,0,
52,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Huile d'olive,Royaume de Prusse,161600,0,
53,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Légumes,Royaume de Prusse,200,0,
54,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poissons divers,Royaume de Prusse,3000,0,
55,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins de Bordeaux,Royaume de Prusse,291000,0,
56,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vins de liqueur,Royaume de Prusse,3900,0,
57,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Vinaigre,Royaume de Prusse,800,0,
58,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Royaume de Prusse,5700,0,
59,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Liqueurs, rhum, &c",Royaume de Prusse,400,0,
60,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Coton,Royaume de Prusse,2000,0,
61,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fil de lin et de chanvre,Royaume de Prusse,4800,0,
62,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Poil de chèvre filé,Royaume de Prusse,4100,0,
63,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bois des îles,Royaume de Prusse,200,0,
64,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Graines diverses,Royaume de Prusse,2300,0,
