numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,prix_unitaire,quantity_unit,remarks,doubleaccounts
373,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Agaric amadouvier, brut et préparé",Royaume d'Espagne et ses colonies,18900,"172,1943048576",quintaux,,0
429,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Agaric amadouvier, brut et préparé",Royaume de Sardaigne,43000,"172,1943048576",quintaux,,0
505,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Agaric amadouvier, brut et préparé",Naples et Sicile,8400,"172,1943048576",quintaux,,0
576,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Agaric amadouvier, brut et préparé",Royaume des Pays-Bas et ses colonies,700,"172,1943048576",quintaux,,0
633,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Agaric amadouvier, brut et préparé",Etats de l'Allemagne,26600,"172,1943048576",quintaux,,0
679,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Agaric amadouvier, brut et préparé",Suisse,5200,"172,1943048576",quintaux,,0
403,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Royaume d'Espagne et ses colonies,401200,"99,9403483655",quintaux,,0
460,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Royaume de Sardaigne,11100,"99,9403483655",quintaux,,0
495,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Italie,2500,"99,9403483655",quintaux,,0
563,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Angleterre et ses colonies de l'Inde,400,"99,9403483655",quintaux,,0
613,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Royaume des Pays-Bas et ses colonies,237200,"99,9403483655",quintaux,,0
665,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Etats de l'Allemagne,64500,"99,9403483655",quintaux,,0
704,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Suisse,2800,"99,9403483655",quintaux,,0
740,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Royaume de Prusse,117500,"99,9403483655",quintaux,,0
892,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,"Alquifoux, mine de plomb ou graphite",Origine Inconnue,500,"99,9403483655",quintaux,,0
404,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Royaume d'Espagne et ses colonies,3600,"128,7478705281",quintaux,,0
461,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Royaume de Sardaigne,85600,"128,7478705281",quintaux,,0
496,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Italie,70900,"128,7478705281",quintaux,,0
528,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Etats de Rome,35400,"128,7478705281",quintaux,,0
614,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Royaume des Pays-Bas et ses colonies,88100,"128,7478705281",quintaux,,0
741,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Royaume de Prusse,12700,"128,7478705281",quintaux,,0
794,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Royaume de Suède et ses colonies,1700,"128,7478705281",quintaux,,0
830,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Etats-Unis d'Amérique,2000,"128,7478705281",quintaux,,0
853,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Alun,Empire Ottoman,2300,"128,7478705281",quintaux,,0
1348,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Argent vif ou mercure,Royaume d'Espagne et les colonies,333900,"6,5711160143",kilogrammes,,0
1372,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Argent vif ou mercure,Royaume de Sardaigne,8400,"6,5711160143",kilogrammes,,0
1389,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Argent vif ou mercure,Italie,400,"6,5711160143",kilogrammes,,0
1421,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Argent vif ou mercure,Angleterre et ses colonies de l'Inde,9500,"6,5711160143",kilogrammes,,0
1438,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Argent vif ou mercure,Royaume des Pays-Bas et ses colonies,1000,"6,5711160143",kilogrammes,,0
1483,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Argent vif ou mercure,Villes Anséatiques,1200,"6,5711160143",kilogrammes,,0
402,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume d'Espagne et ses colonies,100100,,,,0
413,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume d'Espagne et ses colonies,17700,,,,0
424,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume de Portugal et ses colonies,32000,,,,0
428,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume de Portugal et ses colonies,52400,,,,0
459,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume de Sardaigne,37600,,,,0
474,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume de Sardaigne,5500,,,,0
494,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Italie,8800,,,,0
504,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Italie,22200,,,,0
517,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Naples et Sicile,6700,,,,0
522,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Naples et Sicile,17800,,,,0
531,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Etats de Rome,300,,,,0
562,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Angleterre et ses colonies de l'Inde,15300,,,,0
575,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Angleterre et ses colonies de l'Inde,29900,,,,0
612,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume des Pays-Bas et ses colonies,83900,,,,0
632,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume des Pays-Bas et ses colonies,54100,,,,0
664,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Etats de l'Allemagne,8900,,,,0
678,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Etats de l'Allemagne,33600,,,,0
703,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Suisse,18400,,,,0
716,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Suisse,2100,,,,0
739,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume de Prusse,17800,,,,0
750,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume de Prusse,28000,,,,0
795,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1819.csv,Résumé,1819,Imports,Articles réunis,Royaume de Suède et ses colonies,800,,,,0
