numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value,remarks
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,"Blé et autres grains, comestibles",183000,
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Riz,65000,
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Farine et biscuit de mer,8000,
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Légumes,3000,
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Chairs salées,19000,
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Fromage,8000,
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Poissons de toute sorte,1052000,
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,"Fruits verts, en oranges et citrons",527000,
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,"Fruits secs, en amandes, figues et raisins",750000,
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Vins,390000,
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Eaux-de-vie,1010000,
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Provisions diverses,295000,
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Cacao,2000000,
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Café,332000,
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Sucre,2070000,
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Thé,12000,
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Liqueurs et sirops,6000,
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Poivre,74000,
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Cannelle,17000,
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Girofle,2000,
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Muscade,6000,
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Epiceries diverses,2000,
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Chanvre,6000,
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Coton,2902000,
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Fil,1000,
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Laine,17504000,
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Lin,6000,
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,"Poil de chêvre, lièvre et lapin",87000,
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Soie et filoselle,264000,
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Articles réunis,60000,
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Bois divers,9000,
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Bois des îles,245000,
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Soude,3953000,
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Charbons,1000,
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Cuirs en poil,67000,
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Huile d'olive pour fabriques,12741000,
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Huile de poisson,132000,
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Suif,38000,
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Tabacs,1644000,
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume d'Espagne,Articles réunis,502000,
41,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Riz,178000,
42,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Légumes,6000,
43,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,"Bestiaux en bœufs, vaches, porcs, moutons",25000,
44,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Chairs salées,20000,
45,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Fromage,783000,
46,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Poissons de toute sorte,1036000,
47,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Huile d'olive,16000,
48,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,"Fruits verts, en oranges et citrons",28000,
49,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,"Fruits secs, en amandes, figues et raisins",43000,
50,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Vins,170000,
51,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Eaux-de-vie,62000,
52,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Provisions diverses,420000,
53,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Cacao,1260000,
54,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Café,25945000,
55,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Sucre,24435000,
56,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Thé,1262000,
57,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Liqueurs et sirops,250000,
58,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Poivre,1528000,
59,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Cannelle,47000,
60,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Girofle,219000,
61,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Muscade,112000,
62,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Epiceries diverses,55000,
63,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Chanvre,273000,
64,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Coton,5815000,
65,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Fil,195000,
66,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Laine,2654000,
67,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Lin,38000,
68,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,"Poil de chêvre, lièvre et lapin",250000,
69,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Soie et filoselle,158000,
70,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Articles réunis,64000,
71,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Bois divers,187000,
72,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Bois des îles,934000,
73,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Cendres diverses,121000,
74,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,"Potasse, vedasses et gravelées",1743000,
75,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Soude,57000,
76,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Charbons,32000,
77,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Cires blanche et jaune,440000,
78,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Cuirs en poil,2915000,
79,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Huile d'olive pour fabriques,160000,
80,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Huile de poisson,307000,
81,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Soufre et salpêtre,79000,
82,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Suif,45000,
83,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Soie de porc et sanglier,82000,
84,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Tabacs,2077000,
85,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Articles réunis,1530000,
86,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,"Bestiaux en bœufs, vaches, porcs, moutons",18000,
87,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Fromage,31000,
88,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Poissons de toute sorte,34000,
89,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Vins,8000,
