numrodeligne,dataentryby,source,SourecPath,SourceType,year,Exportations/Importations,Pays d'origine,marchandises,value
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Riz,8762
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Légumes,17834
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,"Bestiaux en bœufs, vaches, porcs, moutons",1400
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Fromage,63423
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Poissons de toute sorte,977487
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Huile d'olive,509950
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,"Fruits verts, en oranges et citrons ; fruits secs, en amandes, figues et raisins",518834
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Vins,79167
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Eaux-de-vie,1200
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Provisions diverses,2130
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Cacao,47256
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Café,212140
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Sucre,231924
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Liqueurs et sirops,2502
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Articles réunis,5730
16,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Poivre,28922
17,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Epiceries diverses,28863
18,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Coton,97548
19,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Fil,2752
20,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Laine,10922790
21,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,"Poil de chêvre, lièvre et lapin",4500
22,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Bois divers,60032
23,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Bois des îles,45128
24,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,"Cendres diverses ; potasse, vedasses et gravelées",1600
25,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Soude,2232671
26,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Charbons,2580
27,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Cires blanche et jaune,1585
28,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Cuirs en poil,142720
29,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Huile d'olive pour fabriques,1038852
30,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Huile de poisson,46752
31,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Soufre et salpêtre,50000
32,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Suif,10158
33,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Tabacs,62804
34,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Articles réunis,53211
35,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,"Brai, goudron, résine",4280
36,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Blé et autres grains, comestibles",5287
37,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Riz,1140602
38,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Farine et biscuit de mer,600
39,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Légumes,12619
40,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Bestiaux en bœufs, vaches, porcs, moutons",773715
41,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Chairs salées,3200
42,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Fromage,4870558
43,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Poissons de toute sorte,1750701
44,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Huile d'olive,12000
45,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Fruits verts, en oranges et citrons ; fruits secs, en amandes, figues et raisins",587435
46,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Vins,76330
47,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Eaux-de-vie,6306
48,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Provisions diverses,83730
49,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Cacao,122848
50,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Café,15160458
51,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Sucre,26360395
52,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Thé,102830
53,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Liqueurs et sirops,11430
54,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Articles réunis,1243
55,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Poivre,1306521
56,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Cannelle,748236
57,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Girofle,503340
58,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Muscade,65825
59,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Epiceries diverses,37944
60,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Chanvre,25572
61,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Coton,6111715
62,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Fil,719080
63,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Laine,2502097
64,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Lin,50356
65,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Poil de chêvre, lièvre et lapin",176017
66,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Soie et filoselle,10260
67,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Bois divers,385603
68,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Bois des îles,1108039
69,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Cendres diverses ; potasse, vedasses et gravelées",4993431
70,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Charbons,37273
71,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Cires blanche et jaune,228510
