numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,doubleaccounts
1,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Royaume d'Espagne,1259400,17425300,0
2,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Royaume de Hollande,114300,17425300,0
3,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Royaume de Prusse,81300,17425300,0
4,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Etats de l'Allemagne,192700,17425300,0
5,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,République de suisse,301100,17425300,0
6,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Etats-Unis d'amérique,506100,17425300,0
7,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Villes anséatiques,457500,17425300,0
8,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Royaume de Danemarck,816300,17425300,0
9,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Royaume de Suède,263000,17425300,0
10,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Eaux-de-vie,Milanes et toscane,171200,17425300,0
11,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Eaux-de-vie,Empire ottoman et barbarie,39200,17425300,0
12,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Eaux-de-vie,Royaume de Sardaigne,96800,17425300,0
13,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Eaux-de-vie,Empire d'Autriche,1243700,17425300,0
14,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Eaux-de-vie,Empire de Russie,550900,17425300,0
15,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Eaux-de-vie,Royaume de Potugal,32500,17425300,0
16,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Eaux-de-vie,Angleterre,9224100,17425300,0
17,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,3,1///Subsistances///Eaux-de-vie,"Colonies francaises en Asie,Afrique en Amérique",2075200,17425300,0
18,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Royaume d'Espagne,95000,15891400,0
19,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Royaume de Hollande,637100,15891400,0
20,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Royaume de Prusse,2590800,15891400,0
21,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,Etats de l'Allemagne,701000,15891400,0
22,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,2,1///Subsistances///Vins divers,République de suisse,1630000,15891400,0
