numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,doubleaccounts
1,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Eaux-de-vie,Royaume d'Espagne,772000,0
2,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Vins divers,Royaume d'Espagne,415000,0
3,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Vins de Bordeaux,Royaume d'Espagne,52000,0
4,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Huile d'olive,Royaume d'Espagne,90000,0
5,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,"Bestiaux en bœufs, vaches, veaux, porcs et moutons",Royaume d'Espagne,3720000,0
6,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Blé et riz,Royaume d'Espagne,254000,0
7,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Farine,Royaume d'Espagne,32000,0
8,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Chairs salées,Royaume d'Espagne,520000,0
9,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Fromage,Royaume d'Espagne,8000,0
10,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Légumes,Royaume d'Espagne,16000,0
11,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Fruits divers,Royaume d'Espagne,185000,0
12,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Poissons de toute sorte,Royaume d'Espagne,122000,0
13,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Sel,Royaume d'Espagne,15000,0
14,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Provisions de bouche réunies,Royaume d'Espagne,283000,0
15,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Liqueurs,Royaume d'Espagne,22000,0
16,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Thé,Royaume d'Espagne,12000,0
17,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Cacao,Royaume d'Espagne,838000,0
18,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Café,Royaume d'Espagne,3000,0
19,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Sucre,Royaume d'Espagne,10000,0
20,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Epiceries,Royaume d'Espagne,259000,0
21,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Cannelle,Royaume d'Espagne,67000,0
22,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Girofle,Royaume d'Espagne,42000,0
23,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Coton,Royaume d'Espagne,92000,0
24,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Fil,Royaume d'Espagne,456000,0
25,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Laine,Royaume d'Espagne,6000,0
26,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Soie,Royaume d'Espagne,11000,0
27,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,"Brai, goudron et résine",Royaume d'Espagne,388000,0
28,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Bois divers,Royaume d'Espagne,206000,0
29,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/An5.csv,Résumé,An 5,Exports,Cires jaune et blanche,Royaume d'Espagne,954000,0
